"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.01,0
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.01,0
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.01,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.01,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.025,1.87365210422249
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.025,1.45026832630739
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.025,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.025,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.05,23.01248619201
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.05,20.965456764202
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.05,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.05,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.1,36.9677183698155
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.1,34.8969904558658
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.1,11.4013997906978
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.1,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.15,43.4839430795432
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.15,41.4461186164085
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.15,20.0777951505025
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,6.05044716419844
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.15,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.2,47.9203378447862
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.2,45.7891894010476
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.2,25.8114699792667
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,12.510893889447
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.2,2.89911782547407
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.25,51.286077028792
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.25,49.1782959832286
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.25,30.5709374919085
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.25,17.8269016205425
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.25,8.56223328157892
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.3,54.1958751627235
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.3,52.1735477010856
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.3,34.5762479996841
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.3,22.3890349845008
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.3,13.3488169428694
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.35,56.9217730935042
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.35,54.8195192941861
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.35,38.1929831330979
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.35,26.4940938263829
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.35,17.8244619514064
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.4,59.4531666050321
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.4,57.2673776831394
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.4,41.6915721708228
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.4,30.4019709473589
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.4,21.7742016506497
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.45,61.9051780200754
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.45,59.5448918115838
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.45,44.9536863283048
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.45,34.1508517761706
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.45,25.6040691563763
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.5,64.3249617109518
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.5,61.9930931965266
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.5,48.1440509756058
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.5,37.7681392221472
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.5,29.488923343387
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.55,66.7313931949408
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.55,64.3281964524279
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.55,51.4739321989195
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.55,41.6130243334731
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.55,33.3437676506436
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.6,69.2360252607813
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.6,66.8157478787793
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.6,54.9458346804957
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.6,45.635308259329
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.6,37.4860144636828
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.65,71.7676709181872
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.65,69.3396555204898
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.65,58.6746234319787
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.65,50.05121323094
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.65,41.9090187420551
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.7,74.7265531096054
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.7,72.2036062421271
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.7,62.5073965512332
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.7,54.4774519078569
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.7,46.8214222919649
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.75,77.8690425543564
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.75,75.4210955952626
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.75,67.076178862406
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.75,59.7345897585257
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.75,52.3608408773074
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.8,81.6868788605812
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.8,79.1057415194924
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.8,72.4535319197415
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.8,66.077452018603
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.8,58.9836236632188
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.85,86.4344338395801
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.85,83.9479187010709
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.85,79.4624729160763
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.85,74.3315982307126
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.85,67.6674739764582
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.9,93.3897424472931
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.9,90.7008619125821
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.9,89.5902900447808
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.9,85.6957964165607
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.9,80.7054805611902
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.95,107.633531861444
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.95,104.805110715439
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.95,108.877052570946
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.95,109.217606168483
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.95,106.25849422038
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.975,128.382219477255
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.975,125.777405821745
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.975,136.782981659667
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.975,143.178051805437
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.975,142.751628842509
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"01","quantile",0.99,177.99224021032
2024-03-23,0,"wk inc flu hosp",2024-03-23,"01","quantile",0.99,174.6157074247
2024-03-23,1,"wk inc flu hosp",2024-03-30,"01","quantile",0.99,205.658946183705
2024-03-23,2,"wk inc flu hosp",2024-04-06,"01","quantile",0.99,229.375961412638
2024-03-23,3,"wk inc flu hosp",2024-04-13,"01","quantile",0.99,222.922154945199
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.01,0
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.01,0
2024-03-23,1,"wk inc flu hosp",2024-03-30,"02","quantile",0.01,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"02","quantile",0.01,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"02","quantile",0.01,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.025,0
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.025,0
2024-03-23,1,"wk inc flu hosp",2024-03-30,"02","quantile",0.025,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"02","quantile",0.025,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"02","quantile",0.025,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.05,0
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.05,0
2024-03-23,1,"wk inc flu hosp",2024-03-30,"02","quantile",0.05,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"02","quantile",0.05,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"02","quantile",0.05,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.1,1.82548167607715
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.1,1.66558930215837
2024-03-23,1,"wk inc flu hosp",2024-03-30,"02","quantile",0.1,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"02","quantile",0.1,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"02","quantile",0.1,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.15,3.27605330189481
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.15,3.08409527595485
2024-03-23,1,"wk inc flu hosp",2024-03-30,"02","quantile",0.15,0
2024-03-23,2,"wk inc flu hosp",2024-04-06,"02","quantile",0.15,0
2024-03-23,3,"wk inc flu hosp",2024-04-13,"02","quantile",0.15,0
2024-03-23,-1,"wk inc flu hosp",2024-03-16,"02","quantile",0.2,4.27043651194048
2024-03-23,0,"wk inc flu hosp",2024-03-23,"02","quantile",0.2,4.1149492031456
2024-03-23,1,"wk inc flu hosp",2024-03-30,"02","quantile",0.2,1.21521762362639
