"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.01,0
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,0
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.01,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.01,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.01,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.025,0.413620010616411
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,0
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.025,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.025,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.025,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.05,7.22297083692096
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,6.37796986937761
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.05,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.05,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.05,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.1,15.4133631769584
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,14.6885584556313
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.1,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.1,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.1,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.15,20.9913755437759
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,20.0816885591908
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.15,3.37069652781511
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.15,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.15,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.2,25.3312824181743
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,24.1678019065601
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.2,8.34588774984849
