"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.01,0.953220090792384
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.01,0.8801947313921
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,0.5721959644372
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,0.506858971557952
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.01,0.437735783921414
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.025,2.33862811397798
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.025,2.12251828380594
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,1.3988584038493
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,1.2502798012791
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.025,1.10958938894393
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.05,4.22012620548683
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.05,4.02768800709053
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,2.68715838389024
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,2.37586636569236
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.05,2.22898021930209
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.1,7.35489125779986
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.1,7.24299361222863
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,5.22668470046502
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,4.53267848651508
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.1,4.33825413318944
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.15,9.89235901063472
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.15,9.90685565418822
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,7.37555909497955
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,6.50635167731356
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.15,6.1772248607241
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.2,12.1900165595656
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.2,12.1202387185297
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.2,9.48960265637214
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,8.43324121822101
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.2,8.04050679329371
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.25,14.1954802731435
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.25,14.1534200483457
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.25,11.4428246317725
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.25,10.3242403570334
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.25,9.84115051064356
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.3,16.1434035239335
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.3,16.0032928836054
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.3,13.393382531054
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.3,12.1637700632836
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.3,11.5756356496373
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.35,17.9454612360213
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.35,17.7624838139276
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.35,15.1946129382838
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.35,13.9972116120781
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.35,13.3443141009584
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.4,19.6541785532731
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.4,19.5512744138612
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.4,16.9827960075161
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.4,15.846674999839
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.4,15.231047451515
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.45,21.3130004617437
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.45,21.2309335552202
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.45,18.8056071171583
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.45,17.7315253530259
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.45,17.1273182712624
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.5,23.0009061833483
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.5,22.887955314913
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.5,20.7088920529331
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.5,19.6095304580748
