"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,23.3446659138794
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.01,24.1691931695496
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.01,13.9380251014009
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,10.339698462937
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,8.64201780089594
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,29.2784132570179
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.025,30.2217651754853
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.025,19.0749950364002
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,15.0038753580145
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,13.0876907332142
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,35.8153880695328
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.05,37.0297323675266
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.05,25.2170897145754
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,20.5137411167234
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,18.3320148256778
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,45.7441838804782
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.1,46.6509175091629
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.1,34.4603846043893
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,29.4098471648217
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,26.9189983733667
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,53.4271028862049
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.15,54.571302113501
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.15,42.5396209159046
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,37.3989313762373
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,34.8294196937312
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.2,60.2369443817862
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.2,61.736886682327
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.2,50.0751182810529
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,45.2232701130819
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.2,42.9267772350138
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.25,67.0141310662872
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.25,68.7384881753035
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.25,57.7263966931107
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.25,53.2793290060357
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.25,51.4810928377292
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.3,73.8190174541624
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.3,75.5956262850725
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.3,65.7536741420156
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.3,61.836213249769
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.3,60.7668469179145
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.35,80.7330752727358
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.35,82.8653571732821
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.35,74.2559748729191
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.35,71.5742510447374
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.35,70.9480516126057
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.4,87.4776567770859
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.4,89.8282479010307
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.4,83.6843143220104
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.4,81.8604719690035
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.4,82.277070608959
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.45,94.7694706255624
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.45,97.400669545082
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.45,93.9753498872093
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.45,93.6070307651353
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.45,95.4042389211859
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.5,102.393967173633
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.5,105.231030794428
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.5,104.972427017184
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.5,106.461471652364
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.5,110.604007449128
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.55,110.870339174221
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.55,113.974441828787
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.55,117.080754822757
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.55,120.915422300805
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.55,128.196442489751
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.6,119.918873366798
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.6,123.459134816046
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.6,131.146114684522
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.6,138.881700900086
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.6,148.965910823899
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.65,130.177668484295
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.65,134.208775700646
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.65,148.077018909233
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.65,159.674513967261
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.65,174.354002101585
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.7,141.55286208535
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.7,146.135542310698
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.7,166.88642865883
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.7,185.977978262162
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.7,206.390560360079
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.75,155.631429325931
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.75,160.226825987119
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.75,190.796561217293
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.75,219.336067324069
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.75,247.113721902794
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.8,173.517603081994
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.8,177.92956892296
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.8,221.170313280859
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.8,263.027228643248
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.8,301.967892183991
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.85,196.06753016162
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.85,200.371788110484
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.85,265.219454117796
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.85,327.711285505729
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.85,387.719583584981
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.9,229.608871886228
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.9,233.934115241787
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.9,329.885903825952
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.9,433.255773685018
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.9,534.657630083204
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.95,289.573758592422
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.95,294.460502912366
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.95,462.20639835207
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.95,667.632015590247
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.95,882.657193418572
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.975,353.777773120013
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.975,358.841779516895
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.975,634.604084197131
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.975,980.56755241885
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.975,1386.68500747482
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"01","quantile",0.99,451.274510968873
2023-12-16,0,"wk inc flu hosp",2023-12-16,"01","quantile",0.99,462.645070006953
2023-12-16,1,"wk inc flu hosp",2023-12-23,"01","quantile",0.99,916.983032806885
2023-12-16,2,"wk inc flu hosp",2023-12-30,"01","quantile",0.99,1601.95301446162
2023-12-16,3,"wk inc flu hosp",2024-01-06,"01","quantile",0.99,2396.41336569457
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.01,0.731641631844081
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.01,0.760583033989771
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.01,0
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.01,0
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.01,0
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.025,1.38447419217335
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.025,1.34522062219678
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.025,0.319430844527675
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.025,0
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.025,0
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.05,2.14502745085314
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.05,2.04033566834699
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.05,0.78453980989771
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.05,0.290608026700664
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.05,0.0602309638363021
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.1,3.26374431130865
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.1,3.11265468115194
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.1,1.55893705789244
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.1,0.933956068504785
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.1,0.583395426286329
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.15,4.18678139093876
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.15,4.05872728930524
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.15,2.26357445081407
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.15,1.52115652266887
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.15,1.09785839718846
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.2,5.08036536035101
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.2,4.90021998519969
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.2,2.98042459214693
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.2,2.12791331768258
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.2,1.63259800346375
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.25,5.97202212238461
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.25,5.74157515949981
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.25,3.71964180349606
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.25,2.74104624954705
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.25,2.17123285560657
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.3,6.90542336293778
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.3,6.6398692258875
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.3,4.48829826486257
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.3,3.45146176020619
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.3,2.75675731069833
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.35,7.86269416322875
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.35,7.53818675387151
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.35,5.3521623999502
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.35,4.19026749881545
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.35,3.42472456981227
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.4,8.85625738607238
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.4,8.4578010348785
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.4,6.25829082531535
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.4,5.01789424005848
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.4,4.19613535472434
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.45,9.915082836729
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.45,9.46680171245167
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.45,7.27151903290667
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.45,5.93711578515593
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.45,5.02855195626748
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.5,11.102903519433
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.5,10.5858652853671
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.5,8.42786374338271
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.5,6.98790245581745
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.5,6.01701167433699
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.55,12.4164146435286
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.55,11.8032533767906
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.55,9.73614450556283
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.55,8.22863403054828
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.55,7.16720097467728
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.6,13.8593179451407
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.6,13.2024890982089
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.6,11.261404194201
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.6,9.71421562008007
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.6,8.5660618955667
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.65,15.5651457890149
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.65,14.8063131992602
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.65,13.1012069977289
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.65,11.5224409062845
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.65,10.2834758927202
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.7,17.5366827313809
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.7,16.6614630574587
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.7,15.2363057442697
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.7,13.7869661066846
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.7,12.3144914339055
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.75,19.9578735555597
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.75,18.9686641231892
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.75,17.9960127461206
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.75,16.5975835871645
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.75,15.1213803834242
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.8,23.01579345154
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.8,21.8571554765246
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.8,21.7177159958741
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.8,20.4540947252549
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.8,18.850799825547
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.85,27.1187313532506
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.85,25.8372245423184
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.85,26.9859637724217
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.85,26.1181881268906
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.85,24.6147787425101
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.9,33.3990838429193
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.9,31.8062289017651
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.9,35.7645450765951
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.9,35.588069918462
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.9,34.4031350467866
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.95,45.2052027940024
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.95,42.9385668747239
2023-12-16,1,"wk inc flu hosp",2023-12-23,"02","quantile",0.95,54.3963922071061
2023-12-16,2,"wk inc flu hosp",2023-12-30,"02","quantile",0.95,57.8635559271515
2023-12-16,3,"wk inc flu hosp",2024-01-06,"02","quantile",0.95,58.3967322037716
2023-12-16,-1,"wk inc flu hosp",2023-12-09,"02","quantile",0.975,58.4723211535624
2023-12-16,0,"wk inc flu hosp",2023-12-16,"02","quantile",0.975,57.1427287044184
