"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"US","quantile",0.01,0
2023-11-18,0,"wk inc flu hosp",2023-11-18,"US","quantile",0.01,0
2023-11-18,1,"wk inc flu hosp",2023-11-25,"US","quantile",0.01,0
2023-11-18,2,"wk inc flu hosp",2023-12-02,"US","quantile",0.01,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"US","quantile",0.01,0
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"US","quantile",0.025,0
2023-11-18,0,"wk inc flu hosp",2023-11-18,"US","quantile",0.025,0
2023-11-18,1,"wk inc flu hosp",2023-11-25,"US","quantile",0.025,0
2023-11-18,2,"wk inc flu hosp",2023-12-02,"US","quantile",0.025,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"US","quantile",0.025,0
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"US","quantile",0.05,0
2023-11-18,0,"wk inc flu hosp",2023-11-18,"US","quantile",0.05,0
2023-11-18,1,"wk inc flu hosp",2023-11-25,"US","quantile",0.05,0
2023-11-18,2,"wk inc flu hosp",2023-12-02,"US","quantile",0.05,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"US","quantile",0.05,0
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"US","quantile",0.1,0
2023-11-18,0,"wk inc flu hosp",2023-11-18,"US","quantile",0.1,0
2023-11-18,1,"wk inc flu hosp",2023-11-25,"US","quantile",0.1,0
2023-11-18,2,"wk inc flu hosp",2023-12-02,"US","quantile",0.1,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"US","quantile",0.1,0
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"US","quantile",0.15,0
2023-11-18,0,"wk inc flu hosp",2023-11-18,"US","quantile",0.15,0
2023-11-18,1,"wk inc flu hosp",2023-11-25,"US","quantile",0.15,0
2023-11-18,2,"wk inc flu hosp",2023-12-02,"US","quantile",0.15,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"US","quantile",0.15,0
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"US","quantile",0.2,0
2023-11-18,0,"wk inc flu hosp",2023-11-18,"US","quantile",0.2,0
2023-11-18,1,"wk inc flu hosp",2023-11-25,"US","quantile",0.2,0
2023-11-18,2,"wk inc flu hosp",2023-12-02,"US","quantile",0.2,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"US","quantile",0.2,0
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"US","quantile",0.25,0
2023-11-18,0,"wk inc flu hosp",2023-11-18,"US","quantile",0.25,0
2023-11-18,1,"wk inc flu hosp",2023-11-25,"US","quantile",0.25,0.711534646236173
2023-11-18,2,"wk inc flu hosp",2023-12-02,"US","quantile",0.25,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"US","quantile",0.25,0
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"US","quantile",0.3,0.329984980082457
2023-11-18,0,"wk inc flu hosp",2023-11-18,"US","quantile",0.3,0.329316082683235
2023-11-18,1,"wk inc flu hosp",2023-11-25,"US","quantile",0.3,2.69244758251426
2023-11-18,2,"wk inc flu hosp",2023-12-02,"US","quantile",0.3,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"US","quantile",0.3,0
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"US","quantile",0.35,1.43650859974233
2023-11-18,0,"wk inc flu hosp",2023-11-18,"US","quantile",0.35,1.43923980036019
2023-11-18,1,"wk inc flu hosp",2023-11-25,"US","quantile",0.35,7.41407672471115
2023-11-18,2,"wk inc flu hosp",2023-12-02,"US","quantile",0.35,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"US","quantile",0.35,0.371626285240592
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"US","quantile",0.4,3.1760785670337
2023-11-18,0,"wk inc flu hosp",2023-11-18,"US","quantile",0.4,3.18356172765985
2023-11-18,1,"wk inc flu hosp",2023-11-25,"US","quantile",0.4,15.6729734181844
2023-11-18,2,"wk inc flu hosp",2023-12-02,"US","quantile",0.4,0
2023-11-18,3,"wk inc flu hosp",2023-12-09,"US","quantile",0.4,2.2151894501003
