"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.01,0
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.01,0
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.01,0
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.01,0
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.01,0
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.025,22.3769371100528
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.025,23.4271293328737
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.025,0
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.025,0
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.025,0
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.05,54.5114608872425
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.05,52.9401284180923
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.05,23.6961175242542
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.05,5.62405777050936
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.05,0
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.1,69.9707976728078
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.1,68.6145851927336
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.1,47.3311342602348
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.1,33.9264060008018
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.1,23.9775523006962
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.15,77.5954497766458
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.15,75.979430104019
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.15,58.5076045270418
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.15,46.5100368539702
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.15,37.5757165381036
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.2,83.014281811259
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.2,81.3573535247796
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.2,66.2125399583241
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.2,55.5477137402482
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.2,47.2052019942891
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.25,87.5855114538388
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.25,85.6810828108511
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.25,72.4623052947876
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.25,62.8915798958334
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.25,54.9492404833193
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.3,91.4880376715296
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.3,89.549580032128
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.3,78.0481411930855
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.3,69.4516212904905
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.3,61.7905256601831
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.35,95.1412890925811
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.35,93.1202049802301
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.35,83.3461996777332
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.35,75.5222393797155
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.35,68.4806395728913
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.4,98.6501777670404
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.4,96.6600908447469
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.4,88.469412588195
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.4,81.2773714220914
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.4,75.0278889007694
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.45,102.005350824231
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.45,100.042475654148
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.45,93.3541711436191
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.45,87.0263549258973
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.45,81.2638942350832
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.5,105.608110204098
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.5,103.425352504184
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.5,98.4497708520073
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.5,92.9335766942509
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.5,87.505507251988
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.55,109.255599575662
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.55,106.974734809511
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.55,103.613894073403
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.55,99.2533666262715
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.55,94.0647985506276
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.6,112.96814309105
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.6,110.583214828165
