"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.01,0
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.01,0
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.01,0
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.01,0
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.01,0
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.025,24.2116157564486
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.025,21.7956298877682
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.025,0
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.025,0
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.025,0
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.05,36.7432640925058
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.05,34.4397262479164
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.05,13.2838335312554
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.05,0.290173297737325
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.05,0
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.1,46.7282140035222
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.1,44.4607017687052
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.1,25.8175541677065
2024-03-02,2,"wk inc flu hosp",2024-03-16,"01","quantile",0.1,14.013721942719
2024-03-02,3,"wk inc flu hosp",2024-03-23,"01","quantile",0.1,6.60404732366688
2024-03-02,-1,"wk inc flu hosp",2024-02-24,"01","quantile",0.15,52.7016544927675
2024-03-02,0,"wk inc flu hosp",2024-03-02,"01","quantile",0.15,50.1180332783672
2024-03-02,1,"wk inc flu hosp",2024-03-09,"01","quantile",0.15,33.3292087428966
