"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.01,5.26688290721808
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.01,4.4405277784724
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,2.41767387642808
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.01,2.06784602788089
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.01,1.76573505160953
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.025,10.9801036365706
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.025,9.89801642473854
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,5.82971491985573
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.025,4.78090045263938
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.025,4.20063153956744
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.05,18.1772194412133
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.05,16.9673290246399
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,10.7373938597153
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.05,8.9057848539835
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.05,7.91215656610433
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.1,27.8421051663721
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.1,26.2725036215323
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,18.9655642942183
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.1,16.1296737956082
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.1,14.4909930162459
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.15,35.1590790198163
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.15,33.4400330093939
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,25.7455735641162
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.15,22.4156266079648
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.15,20.5627899415278
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.2,41.1523902981657
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.2,39.1410170059055
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,31.6820038919562
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.2,28.2468564612125
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.2,26.0460609090461
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.25,46.3345365682349
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.25,44.3312005270814
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.25,37.2863633962245
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.25,33.7311911183003
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.25,31.1850464861926
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.3,51.3669097479022
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.3,48.9769048988864
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.3,42.5275026716303
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.3,38.7526871331846
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.3,36.1563269709182
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.35,55.7944312029986
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.35,53.2953032846467
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.35,47.4472954632815
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.35,43.8856661589922
2024-03-30,3,"wk inc flu hosp",2024-04-20,"01","quantile",0.35,41.0228703355582
2024-03-30,-1,"wk inc flu hosp",2024-03-23,"01","quantile",0.4,59.9925952719413
2024-03-30,0,"wk inc flu hosp",2024-03-30,"01","quantile",0.4,57.408745182646
2024-03-30,1,"wk inc flu hosp",2024-04-06,"01","quantile",0.4,52.5402876542388
2024-03-30,2,"wk inc flu hosp",2024-04-13,"01","quantile",0.4,48.9085031298555
