"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.01,23.2943501678507
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.01,23.011095571242
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.01,15.8636422057652
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.01,11.3703394767797
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.01,8.9954051291782
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.025,42.4691161008992
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.025,40.4086661197215
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.025,28.4602672546298
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.025,21.8863761974188
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.025,18.3939016741967
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.05,56.3442579130042
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.05,54.45804617263
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.05,40.1946793271245
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.05,33.2246827282316
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.05,28.4928684137403
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.1,68.7508856669416
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.1,67.2984266244816
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.1,53.5617557416686
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.1,46.6769319655525
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.1,41.5900354035594
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.15,75.9730733713228
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.15,74.4276447387462
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.15,62.7917995181238
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.15,55.7053044251856
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.15,51.1730174340707
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.2,81.2620661948781
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.2,79.6660290932001
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.2,70.0043330111357
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.2,63.69434209753
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.2,59.0980886703734
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.25,85.7252141664364
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.25,84.1256798470133
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.25,75.9960368356395
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.25,70.6062287661804
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.25,66.1349089740837
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.3,89.7078777663936
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.3,88.1262579499677
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.3,81.7419182738243
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.3,77.0796557337261
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.3,72.9243471440253
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.35,93.3877767152946
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.35,91.8222302563104
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.35,87.1234735238895
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.35,83.0104034219259
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.35,79.385678716083
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.4,96.9199574022732
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.4,95.350266764591
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.4,92.1399268889058
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.4,89.007026695533
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.4,85.9120223381727
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.45,100.49661139544
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.45,98.7939921304405
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.45,97.2398514019762
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.45,94.7682407210495
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.45,92.3642215720544
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.5,104.009913715848
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.5,102.36288530145
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.5,102.442779067496
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.5,100.827957131146
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.5,99.0995272255491
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.55,107.694606161351
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.55,105.992864252956
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.55,107.631459849891
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.55,107.310601295442
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.55,106.179508182067
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.6,111.418412348954
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.6,109.622267476973
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.6,113.056494993801
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.6,114.143930201092
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.6,113.685083305358
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.65,115.407632434939
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.65,113.729079621977
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.65,119.282607317636
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.65,121.634264769497
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.65,122.19406501995
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.7,119.960711167188
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.7,118.241844043868
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.7,126.188957052362
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.7,130.141315169418
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.7,131.717173214529
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.75,125.051992200589
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.75,123.358509129384
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.75,133.984302067252
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.75,139.876406851791
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.75,142.851143601749
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.8,131.155533551709
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.8,129.354760271845
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.8,143.723914458352
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.8,152.344586509158
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.8,157.697723563896
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.85,139.094220316062
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.85,137.346668552322
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.85,156.882827801493
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.85,169.427496907358
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.85,178.275678118148
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.9,151.023295211403
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.9,148.972912797647
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.9,177.376978231928
