"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.01,28.0098310173338
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.01,28.0751915799431
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.01,21.3945703427523
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.01,15.9447767566617
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.01,11.487942589971
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.025,30.8116619017778
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.025,30.8452432625758
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.025,25.8089274858057
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.025,21.6361750164939
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.025,17.9026725439005
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.05,33.0482075224928
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.05,33.1373135468894
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.05,29.482669939186
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.05,26.1879181412021
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.05,23.5937866811926
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.1,35.4871187193986
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.1,35.5374884422345
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.1,33.6001477519001
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.1,31.8490091628389
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.1,30.2322734939362
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.15,37.0150925405727
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.15,37.147554787983
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.15,36.3508505086642
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.15,35.6245045715567
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.15,34.9046154582018
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.2,38.241609186868
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.2,38.3785185067915
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.2,38.5813619486162
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.2,38.7479852992856
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.2,38.7606516133478
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.25,39.2517596228923
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.25,39.4555001734719
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.25,40.501422349454
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.25,41.4505348593757
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.25,42.0182263258924
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.3,40.171466139997
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.3,40.4169094031771
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.3,42.1668367496241
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.3,43.8170835927327
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.3,45.1054178323359
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.35,41.0022841959094
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.35,41.2733857601333
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.35,43.7210580655526
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.35,46.0161082994768
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.35,47.9151394546789
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.4,41.7926474917064
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.4,42.0534991559274
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.4,45.1926957220512
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.4,48.115493547873
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.4,50.5753871962335
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.45,42.5719884332182
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.45,42.8134173011436
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.45,46.6345929482285
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.45,50.1446539061828
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.45,53.2823691470981
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.5,43.306376751819
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.5,43.5520562364269
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.5,48.0398675245038
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.5,52.2271105415899
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.5,55.9169284426813
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.55,44.0480315432415
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.55,44.3218730700032
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.55,49.4864736225358
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.55,54.2600150099349
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.55,58.5535655479106
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.6,44.8251137425776
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.6,45.1357309805287
2023-11-18,1,"wk inc flu hosp",2023-11-25,"02","quantile",0.6,50.9465651433975
2023-11-18,2,"wk inc flu hosp",2023-12-02,"02","quantile",0.6,56.3434231297923
2023-11-18,3,"wk inc flu hosp",2023-12-09,"02","quantile",0.6,61.3880764018133
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"02","quantile",0.65,45.6217783416722
2023-11-18,0,"wk inc flu hosp",2023-11-18,"02","quantile",0.65,45.9875568517944
