"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.01,5.03467566751109
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,6.47226092154301
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,25.2755953580002
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,20.9898566059506
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.01,22.1736539208777
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.025,20.4910028146544
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,24.7423167180257
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,41.8675135621733
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,38.2627064509301
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.025,38.7270600642928
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.05,46.1584754633549
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,52.0419297707325
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,59.5554123161897
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,56.867206716483
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.05,56.6094354194324
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.1,78.0571722956002
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,84.8682921798757
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,82.4953084925917
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,80.2928235504516
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.1,82.4255136524076
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.15,100.292380453859
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,107.490256348887
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,99.9227281065592
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,98.8033877068831
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.15,101.903285587669
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.2,117.780309523038
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,125.640353816994
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.2,115.115028889117
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,114.609572379583
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.2,118.82127114567
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.25,133.478705167519
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.25,140.918828729272
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.25,129.185641292943
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,129.362731717569
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.25,134.062424165128
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.3,146.880789180615
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.3,154.618327676434
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.3,142.617645092735
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,143.729574277157
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.3,148.933140369251
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.35,159.766098629975
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.35,167.699581764645
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.35,155.72945153572
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,157.466333389815
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.35,163.934972368477
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.4,171.809450520282
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.4,180.120716604907
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.4,168.995839728051
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.4,171.509755619509
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.4,179.287508570759
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.45,183.199384921644
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.45,191.809848539749
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.45,182.159345998866
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.45,185.627934722245
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.45,195.142788731203
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.5,194.88479608192
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.5,204.057508045568
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.5,196.333425426799
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.5,201.06960553369
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.5,211.284543563844
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.55,206.376190259458
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.55,216.044760616889
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.55,210.501979504349
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.55,217.221680324613
2023-12-30,3,"wk inc flu hosp",2024-01-20,"01","quantile",0.55,228.006154574901
2023-12-30,-1,"wk inc flu hosp",2023-12-23,"01","quantile",0.6,218.412156574491
2023-12-30,0,"wk inc flu hosp",2023-12-30,"01","quantile",0.6,228.453356916484
2023-12-30,1,"wk inc flu hosp",2024-01-06,"01","quantile",0.6,226.196206523602
2023-12-30,2,"wk inc flu hosp",2024-01-13,"01","quantile",0.6,234.142857999415
