"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,1.05137914411881
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.01,1.12384698961598
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.01,0.611565306941463
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.01,0.5058648986004
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.01,0.461811477910136
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,2.65790196939418
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.025,2.61510351360987
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.025,1.53907661075409
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.025,1.32223991166352
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.025,1.12571567110049
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,5.01841396315576
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.05,4.94125166429062
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.05,2.90965434792893
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.05,2.51973037013635
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.05,2.25152388604421
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,8.98155989807468
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.1,8.65553997243288
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.1,5.6478800687675
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.1,4.95201547564978
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.1,4.54412634494789
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,12.4712797595756
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.15,11.8941560201304
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.15,8.26447456520947
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.15,7.25180829713968
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.15,6.72044538937339
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,15.599805027086
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.2,14.876080693739
2024-04-13,1,"wk inc flu hosp",2024-04-20,"01","quantile",0.2,10.8565481652126
2024-04-13,2,"wk inc flu hosp",2024-04-27,"01","quantile",0.2,9.59676967168283
2024-04-13,3,"wk inc flu hosp",2024-05-04,"01","quantile",0.2,8.89971688687384
2024-04-13,-1,"wk inc flu hosp",2024-04-06,"01","quantile",0.25,18.4409999018993
2024-04-13,0,"wk inc flu hosp",2024-04-13,"01","quantile",0.25,17.5546702947053
