"pred_ili[14,13]","pred_ili[15,13]","pred_ili[16,13]","pred_ili[17,13]","pred_ili[18,13]","pred_ili[19,13]"
0.0116861,0.0125118,0.010988,0.0107415,0.0677372,0.515024
0.0119313,0.01366,0.0177361,0.0123693,0.013407,0.0115263
0.00976121,0.011671,0.0146604,0.0138311,0.0172298,0.0195561
0.0114181,0.0118518,0.0156905,0.0156407,0.0189821,0.0302164
0.00899045,0.0124653,0.0138342,0.0121188,0.0109148,0.0136224
0.0116386,0.0153671,0.0196641,0.0108933,0.0125076,0.0141571
0.0103213,0.0143454,0.0146604,0.0112678,0.0118037,0.0134943
0.0102818,0.00745314,0.0092866,0.00556526,0.00857814,0.00664921
0.0114082,0.0119117,0.0133682,0.0113172,0.010555,0.0117052
0.0077503,0.00925609,0.00864442,0.00582933,0.00740465,0.00657488
0.00918198,0.010003,0.014609,0.0105978,0.0109316,0.0117885
0.00921509,0.00789866,0.0105063,0.00721079,0.0067033,0.00917694
0.0135171,0.0148569,0.0160592,0.0109453,0.0126387,0.0133414
0.00879008,0.0134626,0.0155944,0.0118752,0.0129318,0.0130017
0.0150404,0.0189869,0.0196827,0.019834,0.0261435,0.0342915
0.010923,0.00973222,0.0104914,0.0101154,0.00591219,0.00835889
0.00930872,0.00879551,0.0120762,0.010306,0.0130354,0.00885154
0.0109491,0.0118328,0.0128419,0.00932292,0.0113309,0.0132743
0.00975252,0.00917852,0.0165674,0.010365,0.0123609,0.00920382
0.0119496,0.0157229,0.0177108,0.014734,0.0134465,0.0177566
0.0101473,0.0120161,0.0137548,0.0132295,0.0128245,0.0108569
0.00969382,0.0139129,0.0111332,0.0121212,0.00816543,0.00428389
0.0104054,0.0144505,0.0179815,0.0114341,0.0123574,0.0158209
0.00950042,0.014869,0.0140259,0.0116915,0.0119146,0.0125081
0.00691029,0.0110138,0.0109411,0.00892693,0.0124807,0.0109403
0.010528,0.013342,0.0135367,0.0118606,0.0152502,0.0124313
0.00666281,0.0108844,0.00932557,0.00634927,0.00407947,0.00480829
0.0110803,0.0106209,0.0143695,0.0135313,0.0134506,0.0133927
0.00886431,0.0135342,0.0185624,0.012679,0.0138776,0.0147281
0.00852145,0.0106343,0.0124984,0.00924362,0.00875858,0.0100344
0.00976139,0.0122978,0.0130388,0.0111569,0.0119184,0.0143352
0.00974087,0.0141354,0.0206648,0.0156789,0.0161025,0.0193499
0.0109259,0.013314,0.0134526,0.0126826,0.0130731,0.0106219
0.0123848,0.0125958,0.0152335,0.010459,0.0123014,0.0101209
0.009566,0.0123584,0.0168759,0.0123912,0.0155769,0.0164076
0.00956567,0.0118453,0.0145098,0.00994753,0.0116362,0.0115261
0.00983705,0.012929,0.0137519,0.0120933,0.0117226,0.0115965
0.00954015,0.011432,0.0180349,0.0105975,0.0146735,0.015672
0.0102842,0.012165,0.0136062,0.0134774,0.0106525,0.0127125
0.00748316,0.0104548,0.0148439,0.0107876,0.0100047,0.0112183
0.00976549,0.0110409,0.0144515,0.0109885,0.0104825,0.00961689
0.00911051,0.0115086,0.013512,0.0092181,0.00780856,0.0104825
0.0111178,0.0147608,0.0150185,0.0135509,0.0152707,0.01452
0.0102311,0.0150406,0.0112581,0.0120626,0.0126247,0.0117427
0.0111788,0.0148943,0.0164737,0.0143821,0.0172059,0.0229793
0.0104504,0.0116678,0.0113014,0.0116429,0.0136603,0.0122803
0.00980529,0.0148667,0.0162115,0.0130924,0.0106638,0.0516467
0.010731,0.0127077,0.0163647,0.0135843,0.014685,0.0162437
0.0109474,0.0134288,0.014748,0.0116955,0.0152821,0.0131224
0.00912386,0.0132095,0.0142721,0.0107972,0.0147482,0.012092
0.0108133,0.0133851,0.0138511,0.0123931,0.0120028,0.0118427
0.0115688,0.0127559,0.0132841,0.013821,0.0166705,0.0164559
0.0118209,0.0135043,0.013993,0.00929293,0.0101208,0.010459
0.0104164,0.0115362,0.0149735,0.0117766,0.0106307,0.0103543
0.0116514,0.014704,0.0102225,0.0108528,0.0118748,0.0145636
0.0153628,0.0171989,0.0112821,0.010546,0.0113114,0.0154922
