"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.01,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.01,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.01,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.025,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.025,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.025,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.05,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.05,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.05,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.1,4.75249298963817
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.1,5.02307681252739
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.1,1.95675384928392
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,0.181947910322735
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.15,8.32506044336734
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.15,8.63572558631386
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.15,5.46962993718053
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,3.81324006712542
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,3.20374818594335
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.2,11.1535957824212
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.2,11.4676981551497
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.2,8.32054059494891
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.2,6.7435155329019
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,6.15856312807108
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.25,13.6022654419824
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.25,13.8357751147461
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.25,10.8020183086836
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.25,9.2870659136318
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.25,8.78763320648314
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.3,15.7644414236253
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.3,15.9356296615501
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.3,13.0549513679926
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.3,11.6986478719708
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.3,11.1481464142671
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.35,17.7352394153434
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.35,17.9931408947443
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.35,15.2627320727583
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.35,13.8905448282373
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.35,13.4526957836377
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.4,19.5838041375004
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.4,19.8835813502977
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.4,17.3539683534823
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.4,16.0253522428712
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.4,15.656286368073
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.45,21.3828610403824
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.45,21.762316987869
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.45,19.3565588376418
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.45,18.2622661592991
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.45,17.8144953426626
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.5,23.1752736091585
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.5,23.558576046475
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.5,21.424029625817
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.5,20.3564592479045
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.5,20.0397222455641
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.55,24.9573259324917
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.55,25.3173271537764
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.55,23.5528105527785
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.55,22.5718487715102
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.55,22.409815992313
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.6,26.7849900880893
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.6,27.1781310247005
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.6,25.7170621940216
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.6,24.9762253632529
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.6,24.7611704506782
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.65,28.6520090156791
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.65,29.1022831648831
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.65,27.9656221713853
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.65,27.5164998617037
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.65,27.4097681107782
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.7,30.6838418074431
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.7,31.049061135395
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.7,30.5538535630995
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.7,30.2310918568249
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.7,30.2201256334764
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.75,32.7846448114394
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.75,33.1879494004697
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.75,33.444519279466
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.75,33.4622669776119
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.75,33.4828462267514
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.8,35.2127648930645
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.8,35.5508434542487
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.8,36.8037904691963
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.8,36.9704004744665
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.8,37.5441163739648
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.85,37.8410111827856
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.85,38.3910126143202
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.85,40.6541258501529
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.85,41.5943558951769
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.85,42.5932739628373
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.9,41.3035407105046
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.9,41.880003897681
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.9,45.8040990467143
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.9,47.8141398278557
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.9,49.6396146834224
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.95,46.6054910037146
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.95,47.2204010750185
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.95,54.0975827583361
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.95,58.4830815006798
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.95,61.7389668975748
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.975,51.2202744485214
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.975,51.9917003513977
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.975,61.792965463997
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.975,68.5197481627122
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.975,74.4826213332787
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.99,56.9311091944567
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.99,57.7589326941315
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.99,70.6727273209716
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.99,81.5415494881211
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.99,90.5209070808133
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"02","quantile",0.01,9.09849056529893
2023-10-28,0,"wk inc flu hosp",2023-10-28,"02","quantile",0.01,9.12118873270897
2023-10-28,1,"wk inc flu hosp",2023-11-04,"02","quantile",0.01,4.3767411274779
2023-10-28,2,"wk inc flu hosp",2023-11-11,"02","quantile",0.01,1.86141675882307
2023-10-28,3,"wk inc flu hosp",2023-11-18,"02","quantile",0.01,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"02","quantile",0.025,11.7295436994258
2023-10-28,0,"wk inc flu hosp",2023-10-28,"02","quantile",0.025,11.7960028456291
2023-10-28,1,"wk inc flu hosp",2023-11-04,"02","quantile",0.025,7.46957192045757
2023-10-28,2,"wk inc flu hosp",2023-11-11,"02","quantile",0.025,4.98574467953113
2023-10-28,3,"wk inc flu hosp",2023-11-18,"02","quantile",0.025,2.97085538254245
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"02","quantile",0.05,13.7926591723107
2023-10-28,0,"wk inc flu hosp",2023-10-28,"02","quantile",0.05,13.8385355843741
2023-10-28,1,"wk inc flu hosp",2023-11-04,"02","quantile",0.05,10.1757404815858
2023-10-28,2,"wk inc flu hosp",2023-11-11,"02","quantile",0.05,7.83017826123321
2023-10-28,3,"wk inc flu hosp",2023-11-18,"02","quantile",0.05,6.16689128782567
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"02","quantile",0.1,15.9963698422681
2023-10-28,0,"wk inc flu hosp",2023-10-28,"02","quantile",0.1,15.9868360592791
2023-10-28,1,"wk inc flu hosp",2023-11-04,"02","quantile",0.1,13.3117719291577
2023-10-28,2,"wk inc flu hosp",2023-11-11,"02","quantile",0.1,11.5125815819762
