"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,19.9907909626491
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.01,22.7573315529812
2023-11-25,1,"wk inc flu hosp",2023-12-02,"01","quantile",0.01,16.8853176056497
2023-11-25,2,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,16.0740299394601
2023-11-25,3,"wk inc flu hosp",2023-12-16,"01","quantile",0.01,15.6023324885341
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,25.6347577507218
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.025,29.6214186284134
2023-11-25,1,"wk inc flu hosp",2023-12-02,"01","quantile",0.025,24.5949744005571
2023-11-25,2,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,24.62358879646
2023-11-25,3,"wk inc flu hosp",2023-12-16,"01","quantile",0.025,25.5121588358082
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,32.0402971609597
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.05,37.102897794294
2023-11-25,1,"wk inc flu hosp",2023-12-02,"01","quantile",0.05,34.0428328229006
2023-11-25,2,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,36.3756910585766
2023-11-25,3,"wk inc flu hosp",2023-12-16,"01","quantile",0.05,38.9283206928913
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,41.0279404538604
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.1,48.138117695777
2023-11-25,1,"wk inc flu hosp",2023-12-02,"01","quantile",0.1,49.0098089938558
2023-11-25,2,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,57.2789831406372
2023-11-25,3,"wk inc flu hosp",2023-12-16,"01","quantile",0.1,65.9192706427228
2023-11-25,-1,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,48.6221908289633
2023-11-25,0,"wk inc flu hosp",2023-11-25,"01","quantile",0.15,57.4008894297559
