"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.01,29.1038178919677
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.01,27.2447606785788
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.01,12.8177033382436
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.01,8.00810082903944
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.01,5.95028809953347
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.025,36.2742528440535
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.025,34.1730469009656
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.025,17.1312235668845
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.025,11.0660580774153
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.025,8.39280519739707
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.05,44.2023799346184
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.05,41.7093745874046
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.05,22.3971190800102
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.05,14.5645057865163
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.05,11.1072429957832
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.1,55.5524817390525
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.1,52.1253193073805
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.1,30.076715834269
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.1,20.0124854446767
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.1,15.4195608498881
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.15,64.4913406921718
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.15,61.2216336137252
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.15,36.6873592736925
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.15,25.082649903601
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.15,19.3523916002335
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.2,72.9202850195777
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.2,69.4772502093377
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.2,43.0134238671561
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.2,29.8699858853294
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.2,23.1057532567228
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.25,81.2305437617775
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.25,76.9970129303353
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.25,49.2764258377513
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.25,34.9572117175125
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.25,27.1909761661194
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.3,89.2162724890577
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.3,84.4353071289406
