"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"01","quantile",0.01,0
2024-02-24,0,"wk inc flu hosp",2024-02-24,"01","quantile",0.01,0
2024-02-24,1,"wk inc flu hosp",2024-03-02,"01","quantile",0.01,0
2024-02-24,2,"wk inc flu hosp",2024-03-09,"01","quantile",0.01,0
2024-02-24,3,"wk inc flu hosp",2024-03-16,"01","quantile",0.01,0
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"01","quantile",0.025,27.1710848430929
2024-02-24,0,"wk inc flu hosp",2024-02-24,"01","quantile",0.025,22.9566489402272
2024-02-24,1,"wk inc flu hosp",2024-03-02,"01","quantile",0.025,0
2024-02-24,2,"wk inc flu hosp",2024-03-09,"01","quantile",0.025,0
2024-02-24,3,"wk inc flu hosp",2024-03-16,"01","quantile",0.025,0
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"01","quantile",0.05,51.7647621569859
2024-02-24,0,"wk inc flu hosp",2024-02-24,"01","quantile",0.05,47.3483565767106
2024-02-24,1,"wk inc flu hosp",2024-03-02,"01","quantile",0.05,11.161020667898
2024-02-24,2,"wk inc flu hosp",2024-03-09,"01","quantile",0.05,0
2024-02-24,3,"wk inc flu hosp",2024-03-16,"01","quantile",0.05,0
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"01","quantile",0.1,66.9346356686469
2024-02-24,0,"wk inc flu hosp",2024-02-24,"01","quantile",0.1,63.1408194249482
2024-02-24,1,"wk inc flu hosp",2024-03-02,"01","quantile",0.1,32.4169968281235
2024-02-24,2,"wk inc flu hosp",2024-03-09,"01","quantile",0.1,14.5965676732855
2024-02-24,3,"wk inc flu hosp",2024-03-16,"01","quantile",0.1,3.02745647968432
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"01","quantile",0.15,73.873645194536
2024-02-24,0,"wk inc flu hosp",2024-02-24,"01","quantile",0.15,70.115566466498
2024-02-24,1,"wk inc flu hosp",2024-03-02,"01","quantile",0.15,42.1167739610138
2024-02-24,2,"wk inc flu hosp",2024-03-09,"01","quantile",0.15,26.0004652120843
2024-02-24,3,"wk inc flu hosp",2024-03-16,"01","quantile",0.15,15.3822471188191
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"01","quantile",0.2,78.9357190347204
2024-02-24,0,"wk inc flu hosp",2024-02-24,"01","quantile",0.2,74.9548449863157
2024-02-24,1,"wk inc flu hosp",2024-03-02,"01","quantile",0.2,48.7233605098631
2024-02-24,2,"wk inc flu hosp",2024-03-09,"01","quantile",0.2,33.5212617469858
2024-02-24,3,"wk inc flu hosp",2024-03-16,"01","quantile",0.2,23.6473329010636
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"01","quantile",0.25,82.9118096087609
2024-02-24,0,"wk inc flu hosp",2024-02-24,"01","quantile",0.25,78.7919379631875
2024-02-24,1,"wk inc flu hosp",2024-03-02,"01","quantile",0.25,54.1212850064368
2024-02-24,2,"wk inc flu hosp",2024-03-09,"01","quantile",0.25,39.5869122844706
2024-02-24,3,"wk inc flu hosp",2024-03-16,"01","quantile",0.25,30.0524570872931
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"01","quantile",0.3,86.3291196407307
2024-02-24,0,"wk inc flu hosp",2024-02-24,"01","quantile",0.3,82.1001739727336
2024-02-24,1,"wk inc flu hosp",2024-03-02,"01","quantile",0.3,58.8260827508976
2024-02-24,2,"wk inc flu hosp",2024-03-09,"01","quantile",0.3,44.6063063766225
2024-02-24,3,"wk inc flu hosp",2024-03-16,"01","quantile",0.3,35.7380081937886
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"01","quantile",0.35,89.4306353990796
2024-02-24,0,"wk inc flu hosp",2024-02-24,"01","quantile",0.35,85.1111111952663
2024-02-24,1,"wk inc flu hosp",2024-03-02,"01","quantile",0.35,63.2462350832137
2024-02-24,2,"wk inc flu hosp",2024-03-09,"01","quantile",0.35,49.5427943423412
2024-02-24,3,"wk inc flu hosp",2024-03-16,"01","quantile",0.35,40.951832724848
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"01","quantile",0.4,92.4318806801635
2024-02-24,0,"wk inc flu hosp",2024-02-24,"01","quantile",0.4,88.0442082578082
2024-02-24,1,"wk inc flu hosp",2024-03-02,"01","quantile",0.4,67.323897656686
2024-02-24,2,"wk inc flu hosp",2024-03-09,"01","quantile",0.4,54.092991792963
2024-02-24,3,"wk inc flu hosp",2024-03-16,"01","quantile",0.4,45.6952571143735
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"01","quantile",0.45,95.2878182647554
2024-02-24,0,"wk inc flu hosp",2024-02-24,"01","quantile",0.45,90.9657354577549
2024-02-24,1,"wk inc flu hosp",2024-03-02,"01","quantile",0.45,71.2663555564866
2024-02-24,2,"wk inc flu hosp",2024-03-09,"01","quantile",0.45,58.5789491279664
2024-02-24,3,"wk inc flu hosp",2024-03-16,"01","quantile",0.45,50.4783388095452
2024-02-24,-1,"wk inc flu hosp",2024-02-17,"01","quantile",0.5,98.1500345430402
2024-02-24,0,"wk inc flu hosp",2024-02-24,"01","quantile",0.5,93.7864873004221
2024-02-24,1,"wk inc flu hosp",2024-03-02,"01","quantile",0.5,75.3744010432487
