"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.01,18.1491043603555
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,21.3867277244608
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.01,10.6181390677902
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.01,4.17842344701317
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,0
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.025,29.2266072631469
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,33.4824363259362
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.025,24.4119569769337
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.025,18.35735178351
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,9.40594815705949
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.05,38.8831302300065
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,44.4446856345922
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.05,37.4857125708676
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.05,32.0040301567785
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,20.6626288492205
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.1,50.3439867182785
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,57.4617185008322
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.1,54.4594939700456
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.1,50.0758591322918
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,36.3095356157603
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.15,58.2163529768175
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,66.9547567397684
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.15,68.2859804612427
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.15,66.0979975948161
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,50.2025410549119
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.2,64.6659228573563
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.2,74.818791427063
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.2,80.7089162890246
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.2,81.0817841460124
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,63.8429048073584
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.25,70.3768775393825
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.25,82.0110852642025
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.25,92.7453613115588
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.25,96.1227162606584
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.25,78.2931735351218
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.3,75.6995845853881
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.3,89.1487098859228
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.3,105.060619236384
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.3,112.587394032395
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.3,94.3638982642937
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.35,80.7236390405629
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.35,96.2677414528887
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.35,118.502088859447
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.35,130.303090559261
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.35,112.202438433438
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.4,85.6039904242317
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.4,103.39016413535
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.4,132.677657993673
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.4,150.514503548576
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.4,132.153919434044
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.45,90.4331375366652
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.45,110.649566677406
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.45,147.921768317596
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.45,173.236583626078
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.45,155.694248309767
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.5,95.3291397931622
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.5,118.424935786715
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.5,164.136274401272
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.5,198.604469312095
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.5,182.666551713629
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.55,100.463418054449
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.55,126.826105327765
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.55,181.813806954633
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.55,226.896333778535
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.55,214.359332934143
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.6,105.904735194161
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.6,135.743084015946
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.6,200.66953620784
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.6,256.408451198905
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.6,248.562045134234
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.65,111.616984633084
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.65,145.349073485237
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.65,221.377015316751
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.65,289.392180467538
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.65,288.171967915909
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.7,118.014978836901
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.7,156.083515320376
