"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.01,12.3992584556019
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.01,9.19681799010542
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.01,0
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.01,0
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.01,0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.025,26.7010388868751
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.025,23.041887095022
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.025,0
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.025,0
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.025,0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.05,38.3391628956966
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.05,34.7884716483902
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.05,12.6427301092371
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.05,0.0280334249595734
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.05,0
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.1,51.7511537689523
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.1,47.8228060888136
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.1,28.2612057900985
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.1,17.1693459821051
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.1,9.32217583328101
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.15,60.3710208461447
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.15,56.6978017348787
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.15,39.0871667582112
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.15,28.8971701213788
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.15,21.0198805310683
2024-02-10,-1,"wk inc flu hosp",2024-02-03,"01","quantile",0.2,67.3005626550861
2024-02-10,0,"wk inc flu hosp",2024-02-10,"01","quantile",0.2,63.7465800574923
2024-02-10,1,"wk inc flu hosp",2024-02-17,"01","quantile",0.2,47.6195284220436
2024-02-10,2,"wk inc flu hosp",2024-02-24,"01","quantile",0.2,37.5382328979935
2024-02-10,3,"wk inc flu hosp",2024-03-02,"01","quantile",0.2,30.2390205195143
