"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,14.3743543627058
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,16.2997663928818
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.01,12.8875493869279
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.01,12.3850745770822
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,13.0032791026403
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,18.8310255611031
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,21.1241822499179
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.025,18.4870275148226
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.025,18.7841183918836
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,20.9918579129295
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,23.2662867651801
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,26.6954641856765
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.05,25.0004425734478
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.05,26.6941539877309
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,30.5626173361921
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,29.5177562824934
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,34.4127141307544
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.1,35.2300093954517
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.1,40.66308267873
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,49.0572368409189
2023-11-18,-1,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,34.6306286454772
2023-11-18,0,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,40.800205540419
2023-11-18,1,"wk inc flu hosp",2023-11-25,"01","quantile",0.15,44.7650360004899
2023-11-18,2,"wk inc flu hosp",2023-12-02,"01","quantile",0.15,54.1704696978304
2023-11-18,3,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,68.0098117019217
