"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.01,5.50202245511229
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.01,5.51270522416296
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.01,4.4293906909623
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.01,3.99313513527709
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.01,3.8010763315513
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.025,6.78390519974026
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.025,6.844084737593
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.025,5.79814093965879
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.025,5.4263567645231
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.025,5.2131405518391
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.05,8.12013686102472
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.05,8.1056109999137
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.05,7.28027765464824
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.05,6.99165107920499
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.05,6.78175657759683
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.1,9.93382197903433
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.1,9.87355632102715
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.1,9.37033302523926
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.1,9.27301646806182
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.1,9.12253044948524
2024-05-04,-1,"wk inc flu hosp",2024-04-27,"01","quantile",0.15,11.322756808173
2024-05-04,0,"wk inc flu hosp",2024-05-04,"01","quantile",0.15,11.3282320066368
2024-05-04,1,"wk inc flu hosp",2024-05-11,"01","quantile",0.15,11.0823747041656
2024-05-04,2,"wk inc flu hosp",2024-05-18,"01","quantile",0.15,11.1207498623117
2024-05-04,3,"wk inc flu hosp",2024-05-25,"01","quantile",0.15,11.0750381695576
