"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.01,21.0372708105297
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.01,21.3401492644399
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.01,8.27370952802989
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.01,2.10887316153038
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,0
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.025,32.6886082450148
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.025,33.3461999612231
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.025,21.0041965433731
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.025,14.2348012105267
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,9.10616878062118
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.05,42.8444100327544
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.05,43.9543612951055
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.05,32.7694782777743
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.05,25.92537805082
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,20.5714228456975
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.1,54.952369037486
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.1,56.5914006592851
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.1,48.0122259190544
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.1,42.290481256021
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,36.8509713107436
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.15,63.6117143728207
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.15,66.0767046593658
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.15,61.0523685447723
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.15,56.2728636887033
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,50.8445951437173
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.2,70.6220768419706
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.2,73.7033531044003
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.2,72.3199533183947
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.2,69.1218093897108
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,64.2414239418174
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.25,76.7510381493701
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.25,80.7229949258794
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.25,82.5676209117487
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.25,82.1709782972007
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.25,78.4980244412677
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.3,82.2292452584848
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.3,87.5333527929805
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.3,92.7947922415548
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.3,95.5103296409567
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.3,93.924111560916
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.35,87.6637541390704
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.35,93.8737762932554
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.35,103.41670772362
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.35,109.436055458025
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.35,110.815620442721
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.4,92.748557631879
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.4,100.354813816995
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.4,114.149094803751
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.4,124.423690655345
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.4,129.066280607678
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.45,97.7986152594246
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.45,106.907214250218
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.45,125.261682503209
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.45,139.707255591862
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.45,149.050856894631
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.5,103.114639485627
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.5,113.670678215382
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.5,136.989038357742
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.5,156.138929150082
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.5,170.8071577504
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.55,108.515947861497
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.55,120.599525604817
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.55,149.442293493759
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.55,173.768700195038
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.55,194.33058860813
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.6,114.175819861701
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.6,127.909829411293
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.6,163.084056064412
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.6,193.231693955554
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.6,219.403313014802
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.65,120.27996199304
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.65,136.004938446106
2023-12-09,1,"wk inc flu hosp",2023-12-16,"01","quantile",0.65,177.255367102176
2023-12-09,2,"wk inc flu hosp",2023-12-23,"01","quantile",0.65,215.207826419535
2023-12-09,3,"wk inc flu hosp",2023-12-30,"01","quantile",0.65,248.369452300968
2023-12-09,-1,"wk inc flu hosp",2023-12-02,"01","quantile",0.7,126.83057929421
2023-12-09,0,"wk inc flu hosp",2023-12-09,"01","quantile",0.7,144.643230878991
