"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.01,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.01,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.01,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.025,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.025,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.025,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.05,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.05,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.05,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.1,0
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.1,0
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.1,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.15,0.292981555968817
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.15,0.00739245345380201
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.15,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.2,4.80446522961088
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.2,4.55922241106332
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.2,0
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.2,0
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.25,8.58484976977821
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.25,8.42199139521838
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.25,4.37741713831096
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.25,2.13942873342251
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.25,1.72371961436688
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.3,11.8318824627865
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.3,11.8271035783541
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.3,8.36749610279469
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.3,6.67735043771851
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.3,6.65594402913615
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.35,15.0173894402316
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.35,14.9774897019445
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.35,12.2512801770179
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.35,10.9672650771164
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.35,10.9672211190999
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.4,17.9945357580896
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.4,18.0698648051027
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.4,15.9597291280316
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.4,15.142790467422
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.4,15.2725772180822
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.45,20.7677683361745
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.45,21.0156301277566
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.45,19.5718988556764
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.45,19.1947039263983
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.45,19.4863710591359
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.5,23.6463802881805
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.5,23.9823710979257
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.5,23.1790715446821
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.5,23.1764669163008
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.5,23.7580361688197
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.55,26.4944447559256
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.55,26.8277023891162
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.55,26.9793654601382
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.55,27.3873162386681
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.55,28.3060752114043
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.6,29.4167196804621
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.6,29.8082750995791
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.6,30.9866605910568
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.6,31.864764225832
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.6,32.8994967129477
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.65,32.439352792454
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.65,33.0013564770827
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.65,35.1012521301717
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.65,36.6636607405306
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.65,38.0197458364366
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.7,35.8287856928142
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.7,36.4270663500244
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.7,39.7794341028296
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.7,41.9855516127936
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.7,43.9156712218772
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.75,39.487924112081
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.75,40.1586789603563
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.75,45.0766245271545
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.75,48.0323266242655
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.75,50.3452912225798
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.8,43.4346146428259
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.8,44.3741162551472
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.8,50.9211634858395
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.8,55.1651775896126
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.8,58.2234910621167
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.85,48.4350094034731
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.85,49.3294537801889
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.85,58.4026022988298
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.85,64.1313385957645
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.85,68.1866318865204
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.9,54.8896449691714
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.9,56.0244307959758
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.9,68.4512886873264
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.9,76.4194795979639
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.9,82.6602346971536
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.95,65.0949553137291
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.95,67.0172001737151
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.95,84.6291405613174
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.95,97.1084141124849
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.95,106.770423980676
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.975,74.736574706645
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.975,77.0283996158179
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.975,100.20606572336
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.975,117.649630251021
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.975,133.167656027137
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"01","quantile",0.99,86.8068076570383
2023-10-28,0,"wk inc flu hosp",2023-10-28,"01","quantile",0.99,90.6127234926447
2023-10-28,1,"wk inc flu hosp",2023-11-04,"01","quantile",0.99,121.393103204484
2023-10-28,2,"wk inc flu hosp",2023-11-11,"01","quantile",0.99,145.033100635863
2023-10-28,3,"wk inc flu hosp",2023-11-18,"01","quantile",0.99,170.025090686857
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"02","quantile",0.01,10.2316534425542
2023-10-28,0,"wk inc flu hosp",2023-10-28,"02","quantile",0.01,10.481173299801
2023-10-28,1,"wk inc flu hosp",2023-11-04,"02","quantile",0.01,5.81520285013979
2023-10-28,2,"wk inc flu hosp",2023-11-11,"02","quantile",0.01,2.24475196609457
2023-10-28,3,"wk inc flu hosp",2023-11-18,"02","quantile",0.01,0
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"02","quantile",0.025,12.8033437399498
2023-10-28,0,"wk inc flu hosp",2023-10-28,"02","quantile",0.025,13.2790941492754
2023-10-28,1,"wk inc flu hosp",2023-11-04,"02","quantile",0.025,9.29863498313432
2023-10-28,2,"wk inc flu hosp",2023-11-11,"02","quantile",0.025,6.78267803136888
2023-10-28,3,"wk inc flu hosp",2023-11-18,"02","quantile",0.025,4.8044894318643
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"02","quantile",0.05,14.8483662486607
2023-10-28,0,"wk inc flu hosp",2023-10-28,"02","quantile",0.05,15.4385436066516
2023-10-28,1,"wk inc flu hosp",2023-11-04,"02","quantile",0.05,12.6739523911813
2023-10-28,2,"wk inc flu hosp",2023-11-11,"02","quantile",0.05,10.841426669213
2023-10-28,3,"wk inc flu hosp",2023-11-18,"02","quantile",0.05,9.56613147445631
2023-10-28,-1,"wk inc flu hosp",2023-10-21,"02","quantile",0.1,17.0622585430334
2023-10-28,0,"wk inc flu hosp",2023-10-28,"02","quantile",0.1,17.7009138871637
2023-10-28,1,"wk inc flu hosp",2023-11-04,"02","quantile",0.1,16.4389734008847
2023-10-28,2,"wk inc flu hosp",2023-11-11,"02","quantile",0.1,15.7393150724514
2023-10-28,3,"wk inc flu hosp",2023-11-18,"02","quantile",0.1,15.3754962928536
