"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,56.5534860710069
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,57.7411343761883
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.01,30.066273556638
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.01,22.6190656118393
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.01,19.444617605051
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,72.886073503304
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,73.3724475695094
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.025,41.3838984212421
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.025,32.0593356379418
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.025,27.7566231257513
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,90.4705557222238
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,91.4734773332999
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.05,55.3345200547444
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.05,43.3634844546421
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.05,38.1804881881024
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,115.546927143136
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,117.741446485248
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.1,77.467370898417
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.1,63.1125647947782
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.1,56.4673399838743
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,136.112450180123
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,139.293924829683
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.15,97.0487472560614
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.15,80.3534933223897
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.15,73.3245675697575
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.2,155.996334679229
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,159.646439055507
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.2,115.86810547942
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.2,98.7979856117404
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.2,90.7538659997256
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.25,174.357904440332
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,179.253373629986
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.25,135.515768365975
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.25,117.415427569663
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.25,109.982509892052
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.3,192.608696569177
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,198.314013314291
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.3,156.462064520517
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.3,138.069876815676
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.3,130.803129880725
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.35,211.510241100754
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,217.932568462487
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.35,178.028180255038
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.35,161.497330864743
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.35,154.254559882215
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.4,231.379913017647
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.4,238.05655072163
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.4,201.658602574533
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.4,187.314913220816
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.4,180.289688563983
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.45,251.747246296764
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.45,260.183394066239
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.45,227.320208667908
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.45,215.669520165518
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.45,209.095054602133
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.5,274.647791604521
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.5,284.589857905821
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.5,256.623781454215
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.5,248.199437654022
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.5,243.749511084403
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.55,299.285309678855
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.55,309.59750481917
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.55,289.549803471703
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.55,285.489285488034
