"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.01,7.08405113975798
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.01,7.31242420134045
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.01,4.75814239045551
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.01,3.89304455642928
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.01,3.6312077350248
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.025,9.24506807447951
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.025,9.33321868277986
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.025,6.57138427087925
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.025,5.65672864920529
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.025,5.30942658420888
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.05,11.3997468673372
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.05,11.5706552863334
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.05,8.6885837502654
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.05,7.65097928466867
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.05,7.2679022763657
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.1,14.5849037743529
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.1,14.6377272279543
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.1,11.8557650663298
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.1,10.775434484249
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.1,10.4357965734868
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.15,17.0754828785455
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.15,17.1440917099755
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.15,14.648128537349
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.15,13.5796280711283
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.15,13.2451280216141
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.2,19.2465502234481
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.2,19.5121935570708
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.2,17.213200744365
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.2,16.2836752855362
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.2,16.0967262468987
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.25,21.4723026273089
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.25,21.7278331693638
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.25,19.733267868471
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.25,19.1467508460456
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.25,18.9342994416779
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.3,23.629074054985
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.3,23.9123313083086
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.3,22.2915407761681
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.3,21.9999675407269
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.3,21.9563607279715
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.35,25.7718457757132
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.35,26.0805949594185
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.35,25.1393652972808
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.35,25.1120862486338
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.35,25.3660820124226
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.4,28.0660341165817
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.4,28.3503172391413
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.4,28.051274956596
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.4,28.4031939216386
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.4,29.0999508092188
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.45,30.4872473446537
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.45,30.7258564613374
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.45,31.2620826774367
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.45,32.1258016014412
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.45,33.160236697512
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.5,32.9240207356276
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.5,33.2910997527764
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.5,34.6409384075984
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.5,36.1739020541591
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.5,37.6966103847155
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.55,35.6253656264785
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.55,36.0850460912641
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.55,38.563060482409
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.55,40.8565498842
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.55,42.739350400468
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.6,38.5242764114272
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.6,39.1595680281903
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.6,43.0748654208986
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.6,46.2553262206586
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.6,48.8551816394879
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.65,41.887400546375
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.65,42.5634903579885
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.65,48.25733303439
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.65,52.651875819185
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.65,56.4460789347901
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.7,45.7763287554102
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.7,46.5208081808996
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.7,54.2902191904523
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.7,60.6586177976661
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.7,65.5836614216752
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.75,50.3529443370071
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.75,51.1366234633929
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.75,61.5496445680843
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.75,70.4951939009387
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.75,77.6643875147882
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.8,55.7770977418954
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.8,56.7785700419038
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.8,71.1972049299169
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.8,83.730269739957
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.8,94.0500680494001
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.85,62.858029215385
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.85,64.1718612597405
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.85,84.3261429654373
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.85,101.919565613092
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.85,118.239325646754
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.9,73.0461749146149
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.9,74.777753999781
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.9,104.559485842358
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.9,132.266814156112
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.9,157.4323721962
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.95,91.1999445622598
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.95,93.9202761203785
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.95,144.524029034599
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.95,195.211444630266
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.95,245.34352373365
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.975,111.643612392889
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.975,114.734913568105
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.975,192.261253068197
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.975,277.114590402732
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.975,366.418186143653
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"01","quantile",0.99,141.668874835042
2023-11-04,0,"wk inc flu hosp",2023-11-04,"01","quantile",0.99,145.211419657859
2023-11-04,1,"wk inc flu hosp",2023-11-11,"01","quantile",0.99,270.094809085266
2023-11-04,2,"wk inc flu hosp",2023-11-18,"01","quantile",0.99,427.627247534553
2023-11-04,3,"wk inc flu hosp",2023-11-25,"01","quantile",0.99,610.500523888703
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"02","quantile",0.01,1.79922723345167
2023-11-04,0,"wk inc flu hosp",2023-11-04,"02","quantile",0.01,1.74576998587067
2023-11-04,1,"wk inc flu hosp",2023-11-11,"02","quantile",0.01,0.249362824331074
2023-11-04,2,"wk inc flu hosp",2023-11-18,"02","quantile",0.01,0
2023-11-04,3,"wk inc flu hosp",2023-11-25,"02","quantile",0.01,0
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"02","quantile",0.025,2.89014725089216
2023-11-04,0,"wk inc flu hosp",2023-11-04,"02","quantile",0.025,2.88794264016641
2023-11-04,1,"wk inc flu hosp",2023-11-11,"02","quantile",0.025,0.951257318276314
2023-11-04,2,"wk inc flu hosp",2023-11-18,"02","quantile",0.025,0.331896249587952
2023-11-04,3,"wk inc flu hosp",2023-11-25,"02","quantile",0.025,0.0506071372617578
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"02","quantile",0.05,4.22586072383814
2023-11-04,0,"wk inc flu hosp",2023-11-04,"02","quantile",0.05,4.23893664859357
2023-11-04,1,"wk inc flu hosp",2023-11-11,"02","quantile",0.05,1.85772538534811
2023-11-04,2,"wk inc flu hosp",2023-11-18,"02","quantile",0.05,0.950481903931428
2023-11-04,3,"wk inc flu hosp",2023-11-25,"02","quantile",0.05,0.571926576175584
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"02","quantile",0.1,6.26736485709184
2023-11-04,0,"wk inc flu hosp",2023-11-04,"02","quantile",0.1,6.27730991521469
2023-11-04,1,"wk inc flu hosp",2023-11-11,"02","quantile",0.1,3.30198832005543
2023-11-04,2,"wk inc flu hosp",2023-11-18,"02","quantile",0.1,2.17140011550724
2023-11-04,3,"wk inc flu hosp",2023-11-25,"02","quantile",0.1,1.56667895272228
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"02","quantile",0.15,8.05071832881956
2023-11-04,0,"wk inc flu hosp",2023-11-04,"02","quantile",0.15,8.05994141153979
2023-11-04,1,"wk inc flu hosp",2023-11-11,"02","quantile",0.15,4.71455713565002
2023-11-04,2,"wk inc flu hosp",2023-11-18,"02","quantile",0.15,3.36441761565204
2023-11-04,3,"wk inc flu hosp",2023-11-25,"02","quantile",0.15,2.61669506872463
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"02","quantile",0.2,9.78337809473454
2023-11-04,0,"wk inc flu hosp",2023-11-04,"02","quantile",0.2,9.88912673475773
2023-11-04,1,"wk inc flu hosp",2023-11-11,"02","quantile",0.2,6.15658531158987
2023-11-04,2,"wk inc flu hosp",2023-11-18,"02","quantile",0.2,4.5609153216798
2023-11-04,3,"wk inc flu hosp",2023-11-25,"02","quantile",0.2,3.74478093894705
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"02","quantile",0.25,11.5474368000244
2023-11-04,0,"wk inc flu hosp",2023-11-04,"02","quantile",0.25,11.7085240354334
2023-11-04,1,"wk inc flu hosp",2023-11-11,"02","quantile",0.25,7.66430842341985
2023-11-04,2,"wk inc flu hosp",2023-11-18,"02","quantile",0.25,5.91341380918241
2023-11-04,3,"wk inc flu hosp",2023-11-25,"02","quantile",0.25,5.00562559660686
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"02","quantile",0.3,13.3117364642932
2023-11-04,0,"wk inc flu hosp",2023-11-04,"02","quantile",0.3,13.5790300038362
2023-11-04,1,"wk inc flu hosp",2023-11-11,"02","quantile",0.3,9.31556080377763
2023-11-04,2,"wk inc flu hosp",2023-11-18,"02","quantile",0.3,7.43387036519994
2023-11-04,3,"wk inc flu hosp",2023-11-25,"02","quantile",0.3,6.39081574193095
2023-11-04,-1,"wk inc flu hosp",2023-10-28,"02","quantile",0.35,15.218896997943
2023-11-04,0,"wk inc flu hosp",2023-11-04,"02","quantile",0.35,15.5047493038868
2023-11-04,1,"wk inc flu hosp",2023-11-11,"02","quantile",0.35,11.1263417222225
2023-11-04,2,"wk inc flu hosp",2023-11-18,"02","quantile",0.35,9.20916189617258
