"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.01,97.7954263230761
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.01,99.6791835372613
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.01,75.2313816279327
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,62.2491795867791
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,56.0432501080804
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.025,109.164894506215
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.025,110.247948624612
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.025,90.1151346086359
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,78.7879460554381
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,73.2997254373501
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.05,117.583186828392
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.05,119.140698822363
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.05,103.016699929693
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,93.1170085729304
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,88.1109419482613
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.1,127.53061349295
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.1,129.313876846197
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.1,118.126036042542
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,111.240835006759
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,108.184562851869
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.15,133.994849956239
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.15,135.904852942718
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.15,128.482322395352
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,124.484848968474
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,123.132334656455
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.2,139.051570021808
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.2,141.135307941778
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.2,137.050203292727
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.2,135.755788473518
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,136.063757581365
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.25,143.378232034579
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.25,145.638368483219
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.25,144.34796223637
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.25,145.182022658843
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,147.356407323344
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.3,147.305321813262
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.3,149.423518568039
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.3,150.995936140711
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.3,154.120262832902
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,157.984145365335
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.35,150.758465867967
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.35,152.950843629944
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.35,157.056137849825
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.35,162.374037555545
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,168.334413916304
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.4,154.068761811627
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.4,156.256262600576
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.4,162.904387313573
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.4,170.319156938819
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.4,177.827194022071
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.45,157.255832040347
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.45,159.47026098001
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.45,168.614723435765
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.45,178.202576746093
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.45,187.574046510128
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.5,160.372885314643
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.5,162.503872918083
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.5,174.194711808198
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.5,186.081736056945
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.5,197.420688474323
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.55,163.398255735882
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.55,165.392868591762
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.55,179.819195819283
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.55,193.972374193923
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.55,207.66950896951
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.6,166.478958872436
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.6,168.513125219179
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.6,185.595057954756
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.6,202.032825442454
2023-12-23,3,"wk inc flu hosp",2024-01-13,"01","quantile",0.6,218.172056324187
2023-12-23,-1,"wk inc flu hosp",2023-12-16,"01","quantile",0.65,169.470533569926
2023-12-23,0,"wk inc flu hosp",2023-12-23,"01","quantile",0.65,171.736257114255
2023-12-23,1,"wk inc flu hosp",2023-12-30,"01","quantile",0.65,191.503734851043
2023-12-23,2,"wk inc flu hosp",2024-01-06,"01","quantile",0.65,210.592950705015
