"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.01,0
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,0
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.01,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.01,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.01,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.025,0
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,0
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.025,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.025,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.025,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.05,11.0584364173121
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,9.69533021284016
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.05,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.05,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.05,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.1,20.8759195730195
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,19.8554284545803
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.1,1.60452786078688
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.1,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.1,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.15,26.2305220889184
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,25.042176702272
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.15,7.90803552208875
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.15,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.15,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.2,29.7761419099996
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,28.6205377914573
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.2,12.5328662958236
