"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.01,71.6250249753248
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.01,69.5472735628918
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.01,30.8989749186081
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.01,7.78918395221104
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.01,0
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.025,84.0819643675973
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.025,82.3055481951236
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.025,46.0811895176188
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.025,24.303278747648
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.025,10.4763978958169
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.05,94.9753402931528
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.05,93.0368300557989
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.05,59.3047237868984
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.05,38.5367860644527
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.05,24.7771668176641
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.1,107.891979495663
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.1,105.498661535251
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.1,75.1540350346764
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.1,55.8723268417475
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.1,42.3365161577859
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.15,116.645294160504
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.15,114.059728293348
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.15,86.1807295196985
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.15,67.6672563157995
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.15,54.6174845737694
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.2,123.590690113203
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.2,120.782048067356
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.2,95.0019219560206
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.2,77.5889319877081
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.2,64.5472203942997
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.25,129.588060876795
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.25,126.617600886607
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.25,102.74125834334
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.25,86.1867401102809
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.25,73.4912658569876
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.3,135.001486878674
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.3,131.998925815811
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.3,109.890203440035
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.3,94.3235875890886
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.3,81.6067180281074
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.35,140.127179053677
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.35,137.133832752288
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.35,116.788673992087
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.35,101.91198556453
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.35,89.1148277119996
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.4,145.209557607666
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.4,142.162022907276
