"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.01,23.2142213168964
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.01,20.3943147504617
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.01,0
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.01,0
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.01,0
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.025,33.013859142025
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.025,30.3342526709825
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.025,0
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.025,0
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.025,0
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.05,41.4005814298784
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.05,38.8600251915542
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.05,9.521102310142
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.05,0
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.05,0
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.1,51.1729061294637
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.1,48.3643370136639
2024-02-17,1,"wk inc flu hosp",2024-02-24,"01","quantile",0.1,20.9858673623137
2024-02-17,2,"wk inc flu hosp",2024-03-02,"01","quantile",0.1,4.45071134595678
2024-02-17,3,"wk inc flu hosp",2024-03-09,"01","quantile",0.1,0
2024-02-17,-1,"wk inc flu hosp",2024-02-10,"01","quantile",0.15,57.607876127279
2024-02-17,0,"wk inc flu hosp",2024-02-17,"01","quantile",0.15,54.5361084008562
