"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.01,0
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,0
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.01,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.01,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.01,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.025,0.645776376400094
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,0
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.025,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.025,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.025,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.05,10.3637574911157
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,8.21132803675622
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.05,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.05,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.05,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.1,21.5472247984864
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,19.1804786062699
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.1,6.35104339396593
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.1,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.1,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.15,28.9266456810406
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,26.6669903540121
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.15,15.4659209065522
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.15,7.68478921510698
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.15,1.3625992220643
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.2,34.8282401281346
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,32.6089525776528
