"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.01,62.21714061699
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.01,63.1071620423196
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.01,36.8318105076808
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.01,27.7705685574872
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.01,24.9875051640924
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.025,79.5551710635413
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.025,82.5352874757925
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.025,50.6302049693803
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.025,40.2554183999616
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.025,36.2290023389772
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.05,99.0712883115953
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.05,103.598811131046
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.05,68.3716150459106
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.05,55.9181067520767
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.05,51.0399053675923
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.1,128.373382933262
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.1,134.058078764591
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.1,95.4856194485402
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.1,82.5532784241379
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.1,77.3545640529108
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.15,153.109409291904
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.15,159.117243721958
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.15,120.922983897234
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.15,107.537103623978
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.15,103.184397425672
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.2,175.985330624663
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.2,182.109808244594
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.2,145.977448486053
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.2,133.4837721088
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.2,130.612832314005
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.25,197.546285956892
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.25,204.515727317468
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.25,172.049694592039
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.25,161.874485509546
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.25,160.50444650564
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.3,219.506973809526
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.3,228.294779928854
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.3,198.845087557529
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.3,191.955359403214
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.3,193.26652539681
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.35,242.493586662441
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.35,251.998068288796
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.35,227.772244978612
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.35,225.303662438341
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.35,229.799225565523
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.4,265.994615214771
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.4,277.459019558949
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.4,260.122989629412
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.4,262.739156351312
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.4,272.303827296512
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.45,291.349931576946
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.45,304.382929988573
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.45,296.147251494252
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.45,305.531811589954
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.45,322.002737943646
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.5,321.148920567346
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.5,332.899226061411
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.5,337.414042545646
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.5,357.601698737884
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.5,381.59016727971
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.55,351.811363179169
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.55,364.058204523965
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.55,384.050174412649
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.55,416.369942743007
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.55,450.083507242313
2024-01-13,-1,"wk inc flu hosp",2024-01-06,"01","quantile",0.6,385.959293612045
2024-01-13,0,"wk inc flu hosp",2024-01-13,"01","quantile",0.6,399.490103436484
2024-01-13,1,"wk inc flu hosp",2024-01-20,"01","quantile",0.6,439.33374214247
2024-01-13,2,"wk inc flu hosp",2024-01-27,"01","quantile",0.6,485.657925721298
2024-01-13,3,"wk inc flu hosp",2024-02-03,"01","quantile",0.6,536.769087093839
