"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.01,0
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,0
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.01,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.01,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.01,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.025,0
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,0
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.025,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.025,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.025,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.05,13.499368777092
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,11.7594242462954
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.05,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.05,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.05,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.1,25.7395171256567
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,24.0018669157619
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.1,6.45927166959544
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.1,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.1,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.15,32.2115917258502
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,30.2959366815786
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.15,14.6493423220788
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.15,4.5884314463943
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.15,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.2,36.463153858394
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,34.6758000495296
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.2,20.452027652867
