"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.01,69.0309383279738
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.01,74.7834050995544
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.01,25.8123097908621
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.01,0.55923456997813
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.01,0
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.025,97.1012697074445
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.025,97.5690494856672
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.025,67.9674379791856
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.025,50.9661991734608
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.025,39.7169724930873
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.05,110.390267091586
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.05,109.673651739678
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.05,86.4571530139959
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.05,72.6212877582399
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.05,63.16332997438
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.1,123.379468257886
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.1,123.1387703279
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.1,105.111105684552
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.1,94.9731863642815
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.1,87.0304034391366
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.15,131.962802023247
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.15,132.083215943468
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.15,118.647119327096
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.15,110.054833347003
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.15,103.396207672243
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.2,139.178281362831
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.2,139.321042924863
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.2,129.217196260683
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.2,122.533491251072
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.2,116.519883999638
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.25,145.530271874106
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.25,145.829391994307
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.25,138.595394326996
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.25,133.850276084273
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.25,128.30226484269
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.3,151.570327197475
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.3,151.795981632918
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.3,147.307836234954
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.3,143.881534150685
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.3,139.508378564906
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.35,157.349818610074
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.35,157.76460212975
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.35,155.795090860797
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.35,153.849711946797
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.35,150.202714602283
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.4,162.99275657252
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.4,163.789879113608
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.4,164.073195955487
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.4,163.634599555608
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.4,160.530814952456
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.45,168.695479183055
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.45,169.671052141995
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.45,172.490152561415
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.45,173.267725277091
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.45,171.003244657539
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.5,174.654139351746
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.5,176.02780569301
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.5,180.910125826697
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.5,183.13826610771
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.5,181.5887084277
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.55,180.663202843128
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.55,182.428584467325
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.55,189.378537271257
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.55,193.232814391989
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.55,192.447421848845
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.6,187.038559913942
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.6,189.079175508933
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.6,198.583567179777
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.6,203.548594986163
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.6,204.10205796073
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.65,194.241727215203
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.65,196.111832638435
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.65,208.348643312131
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.65,215.382368639369
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.65,216.843400860615
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.7,201.835760082454
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.7,203.802495388295
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.7,219.319186620897
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.7,227.82101274504
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.7,230.492900455319
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.75,210.664094169595
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.75,212.908425552664
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.75,231.696298056201
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.75,242.246297654343
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.75,246.115224892349
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.8,221.034576261359
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.8,223.973396185733
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.8,245.98934644406
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.8,258.711494243615
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.8,264.508464487807
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.85,234.157593593801
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.85,237.657493076906
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.85,264.456514690396
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.85,279.484414321121
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.85,286.85633389651
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.9,252.286099375334
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.9,256.836660447133
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.9,290.575443844363
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.9,308.023639391515
2024-01-27,3,"wk inc flu hosp",2024-02-17,"01","quantile",0.9,319.344873674459
2024-01-27,-1,"wk inc flu hosp",2024-01-20,"01","quantile",0.95,282.929365821916
2024-01-27,0,"wk inc flu hosp",2024-01-27,"01","quantile",0.95,288.878570188195
2024-01-27,1,"wk inc flu hosp",2024-02-03,"01","quantile",0.95,334.053615811055
2024-01-27,2,"wk inc flu hosp",2024-02-10,"01","quantile",0.95,356.783059694556
