"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.01,0
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.01,0
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.01,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.01,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.01,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.025,1.36313927499358
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.025,0.263198008837164
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.025,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.025,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.025,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.05,13.6729132262906
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.05,12.7818295268448
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.05,0
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.05,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.05,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.1,23.4129569085653
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.1,22.515439640485
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.1,5.31514776710692
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.1,0
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.1,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.15,28.6324602660444
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.15,27.6769762669634
2024-04-06,1,"wk inc flu hosp",2024-04-13,"01","quantile",0.15,11.8738352330765
2024-04-06,2,"wk inc flu hosp",2024-04-20,"01","quantile",0.15,2.90714898296834
2024-04-06,3,"wk inc flu hosp",2024-04-27,"01","quantile",0.15,0
2024-04-06,-1,"wk inc flu hosp",2024-03-30,"01","quantile",0.2,32.4929351294872
2024-04-06,0,"wk inc flu hosp",2024-04-06,"01","quantile",0.2,31.3320278950019
