"model","season","last_week","week_ahead","wis","crps","logs","logs2","lmae","mae","pit","cover50","cover60","cover70","cover80","cover90","cover95","cover98","cover99","cover99.5","cover100"
"arima",2010,9,1,0.00057742615686124,0.00078479041789702,-4.81459182035611,-6.6328574240378,0.0005998802541448,0.000606910002493688,0.42602,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,9,2,0.00102409919153397,0.00138706122992896,-4.19269307159796,-6.02741810970764,0.000230814861519799,0.000233697166904578,0.5149,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,9,3,0.00139344431381361,0.00189057241350322,-3.89098071624033,-5.70899551801913,0.000179834071565852,0.000182071903899628,0.50908,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,9,4,0.00168893955235414,0.00228728540784239,-3.70058270555953,-5.5135021611231,0.000448047586219051,0.000453662182920311,0.51816,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,10,1,0.00100258364419836,0.00140043375094068,-4.5638156580689,-6.61928064540151,0.00235316113568085,0.00238001987504721,0.76846,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,10,2,0.00129012427990432,0.00177395685594069,-4.12373656686543,-5.9875129028949,0.00244328805325805,0.00247089467011374,0.66144,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,10,3,0.00163780901481666,0.00224311016480093,-3.83590180172047,-5.67790119847364,0.00272498920304905,0.00275599814678129,0.6323,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,10,4,0.00218876935837148,0.00301309757081693,-3.62571656138515,-5.50974970064267,0.00427028867039155,0.00432286918388702,0.67168,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,11,1,0.000572898033823475,0.00077817951468586,-4.82277311090457,-6.65283995488169,0.000567374257944403,0.000574323300578605,0.57176,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,11,2,0.00103958546320333,0.00141380972227431,-4.20179055941516,-6.02493626754819,0.00062620801558805,0.000633998711122796,0.54282,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,11,3,0.00156525144448259,0.00213739642672737,-3.87596133793932,-5.74852689821882,0.0023468207114732,0.0023780020077433,0.61734,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,11,4,0.00199699500470859,0.00273711427938426,-3.65599365880861,-5.55312031212234,0.00342712710062105,0.00347412745725584,0.63758,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,12,1,0.000558978758638763,0.000762341140490972,-4.80467978575406,-6.67717625408505,0.000389238292436601,0.000394280962710436,0.45232,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,12,2,0.00108762917096519,0.0014773488438592,-4.18156358434515,-6.0769644741546,0.0011652032252772,0.00118138238920196,0.57562,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,12,3,0.00152395666853717,0.00208533701205611,-3.87958649532053,-5.78555451466279,0.00211043032682435,0.00214078148755625,0.6061,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,12,4,0.00206256966042808,0.00284116865798017,-3.63319802107872,-5.60755069377097,0.0038214931590808,0.00387938093278017,0.65424,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,13,1,0.000947863844880551,0.00132434445084854,-4.58370469648375,-6.6903325203895,0.0022025315856986,0.00223195672502841,0.75648,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,13,2,0.00149733218264706,0.00207759538892763,-4.05326914769217,-6.07745052488957,0.0032624661680839,0.00330748047275931,0.70852,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,13,3,0.00217059306592327,0.00301249874901374,-3.71523749310031,-5.78256373681595,0.0048773822815288,0.00494865319768256,0.72562,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,13,4,0.00328575121792888,0.00460936412509583,-3.39490703259966,-5.63036079171912,0.00775309900114065,0.00787846895276179,0.78756,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,14,1,0.00104732125595482,0.00146627044168482,-4.52615749480911,-6.71698542974944,0.00246522161433115,0.00250023180671555,0.78188,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,14,2,0.00175401692040614,0.00245229519172156,-3.96089485103891,-6.12360034887608,0.0040775633561662,0.00413880047070658,0.75584,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,14,3,0.00293896773379349,0.0041350094274252,-3.53443077306233,-5.85651200675547,0.00694793384195585,0.00706312346591753,0.8083,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,14,4,0.00240055076303057,0.00333401766449197,-3.58439230292164,-5.6130170096448,0.0051351153180805,0.00521566366668114,0.70114,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,15,1,0.000774669211281375,0.00107574205301072,-4.69088938398883,-6.80250192678564,0.001673915944494,0.00170109713633915,0.6986,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,15,2,0.00189488835489858,0.00264912391113131,-3.91728736379921,-6.22635329319797,0.00443642751684495,0.00451564053744913,0.77382,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,15,3,0.0016137086749214,0.00220634124152359,-3.8516150798369,-5.86490425273446,0.00262767626226105,0.00267223941938011,0.62982,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,15,4,0.00225692662588379,0.00311407120528629,-3.60202152738301,-5.69249469962902,0.00457178845266245,0.00465416282976139,0.68476,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,16,1,0.00199462651570297,0.00283805153987649,-3.8522337565702,-6.86235090430927,0.0043778419547046,0.00445613935700351,0.91904,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,16,2,0.00133174017323873,0.00183435953485491,-4.10297913123281,-6.19071040061788,0.00260210348111945,0.00264626676683322,0.66904,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,16,3,0.00209144799598232,0.00289903411801367,-3.75619567293825,-5.90954602302016,0.00463437627274055,0.00471773083042648,0.722,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,16,4,0.00426455160859596,0.00604470387002249,-3.17738088743685,-5.69972501732852,0.0099458597043437,0.0101528397661481,0.84866,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,17,1,0.000552056676557588,0.000751191695905774,-4.8396973522676,-6.87785924415332,0.0003467151529601,0.000352997404927891,0.5449,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,17,2,0.00123356992828505,0.00169925982919976,-4.14429174760508,-6.27108367374551,0.002200517944698,0.00224282292060285,0.64794,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,17,3,0.00323750992320741,0.00456057859637019,-3.46085691408332,-5.95640266730345,0.0076159732532748,0.00778351562338808,0.82912,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,17,4,0.00757339618962436,0.0108599567345857,-2.35830876894815,-5.55138164935852,0.0158318162897174,0.0162474283348457,0.95146,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,18,1,0.000670236810802624,0.000923509472400842,-4.74606280868821,-6.97833078277299,0.0012301261249445,0.00125592760976234,0.34694,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,18,2,0.00170615522656634,0.00238451662989822,-3.97775330248864,-6.33326015697986,0.0039602964306588,0.00405481589260903,0.74772,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,18,3,0.00567861475705605,0.00810140291928045,-2.75696192545565,-5.79558812928324,0.0121628955933155,0.0125050578296131,0.93578,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,18,4,0.00569906828988257,0.00811233684922734,-2.83133125444481,-5.57689666387345,0.0126737503408507,0.0130334609477663,0.90742,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,19,1,0.0053632431964676,0.0072479610119391,-0.69995622538204,-6.90132474958042,0.00904423669650665,0.00923660981918961,0.99786,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"arima",2010,19,2,0.0107782014492195,0.014382049798868,0.330596957699368,-6.05305706117076,0.0177347053421166,0.0181830115325881,0.99884,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"arima",2010,19,3,0.00968707612955762,0.0136919412288854,-1.37244929095224,-5.71110224434887,0.0181498353450075,0.018614065353572,0.98816,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"arima",2010,19,4,0.00466936214014294,0.00661079274052318,-3.09181715292553,-5.68749317884287,0.0107303121998365,0.0109641119993109,0.86832,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,20,1,0.00812848102448973,0.010231110641754,2.07854388077458,-6.80094093508287,0.0120273125251454,0.012366497212521,0.99988,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"arima",2010,20,2,0.0061764229272518,0.00879057727734908,-2.13823612095899,-6.13335793138102,0.0120351691359782,0.0123806995912845,0.98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"arima",2010,20,3,0.00208022596611578,0.00288241764541124,-3.75940599999664,-5.966985153283,0.00458001264931475,0.00469420011065513,0.71944,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,20,4,0.00294248025075117,0.00411051657046887,-3.46861287913569,-5.69702358347593,0.00687674762241555,0.00705555822891624,0.75952,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,21,1,0.00309999186491483,0.00443454554226782,-2.9322507640223,-6.77315567941086,0.0061496704126344,0.00634484346022446,0.97498,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,21,2,0.00116321926590422,0.00159076115023818,-4.16197329778557,-6.26649163165591,0.00173338929846575,0.00178222136446538,0.38636,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"arima",2010,21,3,0.00138798634457673,0.00188064162779104,-3.9003976156239,-5.89931677871532,0.000482730858193798,0.00049686790855219,0.52406,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
