"model","season","last_week","week_ahead","wis","crps","logs","logs2","lmae","mae","pit","cover50","cover60","cover70","cover80","cover90","cover95","cover98","cover99","cover99.5","cover100"
"asg",2010,9,1,0.000186622773557931,0.000252301749302,-5.90443044423961,-7.23166743654701,3.79999999999998e-06,3.84338491543623e-06,0.4988,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg",2010,9,2,0.000250485192914483,0.0003420510825624,-5.69268361251305,-7.14190170618719,0.000410249999999999,0.000415335742815159,0.63,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg",2010,9,3,0.000301514530620689,0.0004132366969612,-5.58904009643013,-6.98059388197887,0.000506599999999998,0.000513080138444089,0.3584,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg",2010,9,4,0.000526060317637241,0.0007322569539496,-5.23268351939754,-6.87792196757549,0.0011835,0.0011993087610116,0.23,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg",2010,10,1,0.000328254786148275,0.0004575884994276,-5.6124678484752,-7.30044076670846,0.000761449999999999,0.000770754117889405,0.7648,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg",2010,10,2,0.000212315256497931,0.0002875307137172,-5.77708970929147,-7.14687980353681,5.3199999999998e-05,5.38682901811693e-05,0.483,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg",2010,10,3,0.000314619275986896,0.0004317889346368,-5.57609323503528,-7.05612787819382,0.00062565,0.000633830361879362,0.323,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg",2010,10,4,0.000286674183113103,0.0003883240771864,-5.49637911824594,-6.95596580399233,0.000246749999999999,0.00025029109133401,0.565,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg",2010,11,1,0.000188534634728276,0.0002556757608892,-5.90350084797201,-7.30230221972219,0.000189450000000001,0.000191806569552311,0.573,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg",2010,11,2,0.000219456467204138,0.0002986559276372,-5.84899520643017,-7.23450335684528,0.0003085,0.000312484071697927,0.3922,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg",2010,11,3,0.00030870207226069,0.0004248865476072,-5.57087434730333,-7.13795216118972,0.00063505,0.000644038513414102,0.6838,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg",2010,11,4,0.000373339643875862,0.000517805060296,-5.39861965973527,-7.02670679684734,0.0008205,0.000832836869938181,0.6964,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg",2010,12,1,0.000224816301577931,0.0003087980791736,-5.8622916232274,-7.30771777133569,0.000405549999999999,0.000410807342834163,0.3482,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
