"model","season","last_week","week_ahead","wis","crps","logs","logs2","lmae","mae","pit","cover50","cover60","cover70","cover80","cover90","cover95","cover98","cover99","cover99.5","cover100"
"asg_disc2",2010,9,1,0.000412932110255862,0.000576457637840468,-5.34658261156174,-7.456747545803,0.0009665,0.000977060512884265,0.75292,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,9,2,0.000772436036538621,0.0010897543651969,-4.77658710720006,-7.25760077574711,0.00185255,0.00187416370584459,0.83808,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,9,3,0.000630475315128276,0.000877251619756637,-4.8477739941515,-7.05122998635766,0.0014993,0.0015169561226458,0.74292,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,9,4,0.000626429793994483,0.000855858459214196,-4.73947889596345,-6.83950099544564,0.0012954,0.00131107747308667,0.67768,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,10,1,0.000725351400235862,0.0010268615806353,-4.85082436262926,-7.43593786422149,0.00169005,0.00170990670117099,0.8647,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,10,2,0.000551661781883449,0.000770961981940589,-5.03815086670063,-7.19809282827385,0.00130955,0.00132509726355967,0.75054,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,10,3,0.000536274826422759,0.000734768492291132,-4.93456881811711,-6.96321667822467,0.00108435,0.00109758905164292,0.67106,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,10,4,0.000969892919631034,0.00135265771721892,-4.44277917052588,-6.75652004656569,0.00235165,0.0023828897095679,0.75932,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,11,1,0.000411479399019311,0.0005704336429358,-5.34495130715306,-7.38893134259538,0.000929650000000001,0.000940865674922797,0.72638,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,11,2,0.000392410035821379,0.000534065153986128,-5.20394535727488,-7.11947683355407,0.0005856,0.000592897525372615,0.61222,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,11,3,0.000745016779908276,0.00103159834616521,-4.72081010228232,-6.8938275683399,0.00171365,0.00173696822834235,0.73412,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,11,4,0.000971486636286207,0.0013426641752262,-4.43882517353442,-6.6796152908857,0.00221545,0.00224719354118541,0.73876,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,12,1,0.000283137748349655,0.000383468259765644,-5.54862667066426,-7.3605626209718,0.000217199999999999,0.000219994949665958,0.44404,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,12,2,0.000450996863802069,0.000614300846305872,-5.09044983857428,-7.09700007369901,0.000760349999999998,0.000771063709677611,0.63304,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,12,3,0.000613359453337931,0.000833083139152156,-4.7871939332451,-6.85307562851755,0.0010784,0.00109447348239344,0.64198,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,12,4,0.00098027188998138,0.00134301314453169,-4.36322550826228,-6.64731228813656,0.00214695,0.00218129654925647,0.70928,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,13,1,0.000478951161930345,0.000669144852920476,-5.2136858261007,-7.38242425842422,0.0011172,0.00113273980816109,0.74976,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,13,2,0.000661998793055172,0.000922582802322844,-4.86864744765026,-7.12723254577643,0.0015548,0.00157759844741334,0.75572,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,13,3,0.00113981743406,0.00159962342759409,-4.3412924375626,-6.89898384696461,0.0027178,0.00276049120652533,0.81304,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,13,4,0.00179738288750483,0.00252955151063845,-3.82954901401669,-6.68834077507951,0.0042666,0.00434314923706602,0.83804,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,14,1,0.000928010659642069,0.00131940773039802,-4.59285388758096,-7.41536257001782,0.002102,0.00213223890452019,0.8934,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,14,2,0.00161799724833104,0.00230601522138907,-3.88531683449249,-7.17854777906962,0.0034867,0.00354010853647635,0.92878,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,14,3,0.00250234053313655,0.00357520958887965,-3.29195165225891,-6.95297384404133,0.0052944,0.00538662282856106,0.93684,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,14,4,0.00156795084874828,0.00220010941871615,-3.99300712428122,-6.71343330764128,0.003747,0.00380841504847473,0.82744,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,15,1,0.00113812070489379,0.00161942692735201,-4.34957467478919,-7.40705230032608,0.0025008,0.00254035806424024,0.91552,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2",2010,15,2,0.00183807560806207,0.00261708313251662,-3.7479754205005,-7.12456118020384,0.00401135,0.00408384047459687,0.92086,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
