"model","season","last_week","week_ahead","wis","crps","logs","logs2","lmae","mae","pit","cover50","cover60","cover70","cover80","cover90","cover95","cover98","cover99","cover99.5","cover100"
"asg_disc2test",2010,9,1,0.00102218933712483,0.00142262074404766,-4.05270431608569,-6.33458118450526,0.00214773,0.00216991565388502,0.62076,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,9,2,0.0011739819059269,0.00164268084314665,-4.17613807826171,-6.34806492219877,0.002782865,0.00281402393050478,0.66836,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,9,3,0.00105837167084621,0.00147470990361123,-4.21226225864895,-6.34450832864593,0.00214925,0.00217385374438095,0.63568,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,9,4,0.000997643388085517,0.00138504882317157,-4.28138291464925,-6.34573306721056,0.00171995,0.00174039616595612,0.61762,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,10,1,0.00101517823449103,0.00141618087865909,-4.26948705674162,-6.34718044407627,0.0017586,0.00177920114180208,0.6101,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,10,2,0.000935368886172414,0.00129663537085578,-4.2902683137309,-6.34922297104402,0.0011988,0.00121309957486404,0.57974,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,10,3,0.000885274437036552,0.00122344219932447,-4.34448654699443,-6.36316278543255,0.000939150000000001,0.000950685280658448,0.5687,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,10,4,0.00106625926324897,0.00148573679884018,-4.46575763734585,-6.40259628381725,0.0021151,0.00214345074733124,0.68106,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,11,1,0.000829448204723448,0.00115025393440421,-4.42464825440481,-6.3998580232458,0.000627400000000002,0.000635065162766679,0.5489,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,11,2,0.000788961490015862,0.00108781298175609,-4.48148638466589,-6.41812943886203,0.00048835,0.000494459673076708,0.542,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,11,3,0.00094943048906,0.00131651716768843,-4.60194530700991,-6.4657560245103,0.0017853,0.00180952838606485,0.67752,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,11,4,0.00108555605697862,0.0015166368472856,-4.55890241510873,-6.50303976431421,0.0023243,0.00235747491164573,0.74352,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,12,1,0.000714562013011035,0.000978042047518204,-4.56597067033491,-6.46757166372953,0.000226800000000001,0.000229667491550734,0.52088,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,12,2,0.000846815721423448,0.00116971955235036,-4.68289402500553,-6.5269462835072,0.00154015,0.00156124274903791,0.66958,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,12,3,0.00098413735053931,0.00137131255476771,-4.64760160105464,-6.57480668373315,0.0021176,0.00214804657371381,0.74456,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,12,4,0.00148968957621379,0.00210106293697882,-4.2518634846984,-6.69929677953205,0.0033227,0.00337387290826574,0.86258,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,13,1,0.000731315130004138,0.00100865824593965,-4.82910076476784,-6.57235179237061,0.0011708,0.00118705355547122,0.65228,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test",2010,13,2,0.000902230918143448,0.00125398033054574,-4.7264160806424,-6.65516506119862,0.0018798,0.00190705417639148,0.7432,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
