"model","season","last_week","week_ahead","wis","crps","logs","logs2","lmae","mae","pit","cover50","cover60","cover70","cover80","cover90","cover95","cover98","cover99","cover99.5","cover100"
"asg_disc2test2",2010,9,1,0.000430018275737241,0.000600913780755555,-5.29506627438931,-6.79548978366157,0.0010583,0.00106981447306809,0.764666666666667,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test2",2010,9,2,0.000756185676648965,0.00106977722735111,-4.79227912781106,-6.68190250146877,0.0017397,0.00176009636549779,0.865333333333333,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test2",2010,9,3,0.000520027918225518,0.000725253868115556,-5.11304296759771,-6.64536332978577,0.0012533,0.0012682151117076,0.772,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test2",2010,9,4,0.000446895908786207,0.000613491890133333,-5.14651398080708,-6.45340277671743,0.000938349999999999,0.000949875834403757,0.680666666666667,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test2",2010,10,1,0.0048327894746331,0.00691105367112133,-2.13373355101512,-6.55173597340256,0.00925158,0.00932498842337792,0.96,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test2",2010,10,2,0.00449072143800697,0.00648195984610613,-2.22303450960655,-6.30248917863845,0.00902692,0.00909894214708684,0.952,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test2",2010,10,3,0.00439388438591145,0.00629784140092889,-2.5932419780409,-6.13108880965608,0.009193745,0.00926836891377936,0.939333333333333,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test2",2010,10,4,0.00502687318926138,0.00722237198034431,-2.71818175841882,-5.92749121033147,0.010646505,0.0107433336820042,0.948666666666667,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test2",2010,11,1,0.0045162281996789,0.00648566496174799,-2.54167222358012,-6.08397211098165,0.009253415,0.00932618964080678,0.965333333333333,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test2",2010,11,2,0.00443550219761352,0.00635544444185067,-2.63714523843853,-5.91668354603404,0.009343395,0.00941852991579339,0.958666666666667,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test2",2010,11,3,0.00524965877186524,0.00755483857254311,-2.07338202770313,-5.82569901839415,0.01083474,0.0109322535339247,0.973333333333333,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test2",2010,11,4,0.00559621327034862,0.00800922139828178,-2.08941148927824,-5.73665257003302,0.01155668,0.0116677071091129,0.972666666666667,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test2",2010,12,1,0.00440949322608276,0.00631614727572533,-2.31435255998602,-6.03433847538734,0.00935737,0.00943255148829381,0.938,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2test2",2010,12,2,0.00514541674703793,0.00739642585664667,-2.18891527155226,-5.87084207974464,0.010864105,0.0109617221656573,0.944666666666667,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
