"model","season","last_week","week_ahead","wis","crps","logs","logs2","lmae","mae","pit","cover50","cover60","cover70","cover80","cover90","cover95","cover98","cover99","cover99.5","cover100"
"asg_disc2testb",2010,9,1,0.000418595802350345,0.00058235877104,-5.32138979230533,-6.79407129359895,0.0010153,0.00102636868907524,0.766,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,9,2,0.000793490862848965,0.00112605286976,-4.69089205993669,-6.53207307176332,0.00188135,0.0019032723167316,0.849,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,9,3,0.000654222312531724,0.000911747057630001,-4.71936862393403,-6.33865828271141,0.00155965,0.0015779692151705,0.754,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,9,4,0.000595434992295173,0.00081189575851,-4.80529380519105,-6.09571803641931,0.00118405,0.00119844657664281,0.665,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,10,1,0.000726891379322758,0.00102516859094,-4.93857309321991,-6.67589410633938,0.0017002,0.00172016722794055,0.874,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,10,2,0.000506585703104828,0.000703670409390001,-5.10065648193085,-6.43525784520026,0.00119845,0.00121274561216778,0.735,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,10,3,0.000482249701244138,0.0006591922304,-4.97093320634403,-6.23757479173724,0.000926700000000001,0.000938088199942344,0.66,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,10,4,0.000850672397461379,0.00117953924347,-4.55548680064625,-5.97537460573268,0.00196,0.00198642577985986,0.735,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,11,1,0.000396008056624828,0.000546638082130001,-5.3861269042617,-6.62912791006825,0.000866500000000001,0.000876981493800777,0.732,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,11,2,0.000385999628182759,0.00052609136942,-5.21009809263571,-6.31991451304666,0.0005305,0.000537125686277173,0.596,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,11,3,0.000694886643790345,0.00095471175027,-4.77028398795378,-6.09788500539736,0.00147135,0.00149155181102589,0.711,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,11,4,0.00093721098313862,0.00129524606408,-4.51439573337686,-5.93486563769161,0.0021371,0.00216780581342801,0.741,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,12,1,0.000270082965133103,0.00036899263416,-5.54725454559961,-6.62910677297396,0.00014075,0.000142555734543581,0.455,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,12,2,0.0004464066778,0.00061422764804,-5.0910408763218,-6.37523969842681,0.000875299999999999,0.000887582404039522,0.651,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,12,3,0.000633160675793793,0.00087003274596,-4.86241176433772,-6.18497342528489,0.0012942,0.00131334827756135,0.705,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,12,4,0.00110602530418207,0.00153194358783,-4.26395304119081,-5.95960164122298,0.00269275,0.00273508196232886,0.757,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,13,1,0.000459178530895172,0.00063959049452,-5.22051583838882,-6.57227838851672,0.0010557,0.00107041727645907,0.728,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,13,2,0.000583987138653793,0.00080619393771,-4.99879825578802,-6.32347045454571,0.0013046,0.00132389526750853,0.724,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,13,3,0.00107110869844,0.00150517457998,-4.43119981755686,-6.13939147204235,0.0025964,0.00263734426618933,0.806,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,13,4,0.00170082276966,0.00239925042303,-3.95334218046819,-5.94370556701452,0.00407525,0.00414876276754073,0.845,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,14,1,0.000858304250749655,0.00121545112116,-4.78164809498793,-6.66028248538372,0.00195775,0.00198605694683485,0.888,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,14,2,0.00153561825824828,0.0021861301209,-3.97650456490418,-6.46824985600466,0.0033054,0.00335633548707759,0.925,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,14,3,0.00234095798611379,0.00333102195423,-3.56948265985901,-6.2218224838486,0.00508995,0.00517914047903001,0.934,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,14,4,0.00140227522724966,0.00194348905726,-4.16682287489367,-5.97377179169587,0.0034053,0.00346170545817093,0.815,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,15,1,0.00112415821282483,0.00160594392646,-4.37419586567096,-6.5588915952198,0.00249985,0.00253939424269389,0.904,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,15,2,0.00181307583744,0.00258912271793,-3.89346993225083,-6.29142014378755,0.00414005,0.00421459522252232,0.903,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,15,3,0.00103720737052,0.00144300904106,-4.30809907054196,-6.08556418575936,0.0024849,0.0025272221233692,0.756,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,15,4,0.00187226248087172,0.00262839053132,-3.73350230499098,-5.89974703526654,0.0044545,0.00453502682181584,0.825,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,16,1,0.0014780401742069,0.0021087754349,-4.07867768685123,-6.60973525122429,0.0032131,0.00327247010445864,0.936,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,16,2,0.000620035932551725,0.0008551314089,-4.87042881444473,-6.30463952749458,0.0013783,0.0014025503877626,0.705,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,16,3,0.0013399320749131,0.00187479418618,-4.16446506385523,-6.13400197793849,0.00322675,0.00328709796352933,0.814,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,16,4,0.00298730945055448,0.00425059961442,-3.25604567173459,-5.82371753668308,0.00679655,0.0069489090789967,0.9,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,17,1,0.000502779338551724,0.0006952003239,-5.0384054635615,-6.58683589723334,0.00106865,0.00108762061940282,0.721,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,17,2,0.00118730608755862,0.001676486967,-4.32673115332983,-6.37685412997404,0.00275505,0.0028072377212629,0.84,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,17,3,0.00289491489411724,0.0041269116058,-3.30117576842608,-6.04786405992277,0.00628375,0.00642625926579976,0.923,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,17,4,0.00536881377714483,0.0077060578891,-2.39738898038793,-5.60359876009342,0.01110115,0.0114194925308695,0.949,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,18,1,0.000367494529448276,0.000491675747,-5.26635456371261,-6.58546578705356,9.91000000000013e-05,0.000101111360812478,0.525,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,18,2,0.00113717008966207,0.0015913262208,-4.32689554172881,-6.1997083879522,0.0026779,0.00274357044452822,0.785,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,18,3,0.00254992108518621,0.0035944756514,-3.60332691298125,-5.46655181014136,0.00599265,0.00618024175495369,0.852,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,18,4,0.00142852196311724,0.0019233852941,-3.85570597799639,-4.90653542232213,0.00018,0.000186301075817186,0.493,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,19,1,0.00244850528295172,0.0034891553829,-3.05580967736532,-6.56578707330892,0.00471425,0.00482494597400618,0.98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,19,2,0.00498659983435172,0.0070230910797,-1.81493949188359,-5.9768620637463,0.0091189,0.00938968454184663,0.989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,19,3,0.00166389483669655,0.0023284787963,-3.97890436441968,-5.48002653592808,0.0039965,0.00412777530010811,0.77,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,19,4,0.000936058993503448,0.0012650271497,-4.3040728805078,-5.56374351575904,0.000128350000000003,0.000131843001614618,0.513,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,20,1,0.00660911648302069,0.008401370706,1.09408585650395,-6.30526626650736,0.00990675,0.0101969184031694,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"asg_disc2testb",2010,20,2,0.00225047229093103,0.0031997581239,-3.68094081886921,-5.72861270933085,0.00500445,0.00516623165104479,0.89,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,20,3,0.000910667944682758,0.0012399723245,-4.32140391568543,-5.71741685724157,0.000975750000000001,0.00100188015703173,0.586,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,20,4,0.00267385690122069,0.0037794049851,-3.56621887836935,-5.56444558419205,0.006281,0.00644623762887631,0.87,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testb",2010,21,1,0.00135765179385517,0.0019191820467,-4.31998010848689,-6.09201390022675,0.0031774,0.00328311337854248,0.862,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
