"model","season","last_week","week_ahead","wis","crps","logs","logs2","lmae","mae","pit","cover50","cover60","cover70","cover80","cover90","cover95","cover98","cover99","cover99.5","cover100"
"asg_disc2testog",2010,9,1,0.00612165977012416,0.00741992884093065,-3.10418300777266,-3.44768229017761,0.0004306,0.000435421615471165,0.506,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testog",2010,9,2,0.010323709225865,0.0124073548200724,-2.84100653119646,-2.89624496467664,0.00130985,0.00132549155206019,0.523,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testog",2010,9,3,0.0130433257598657,0.0158495820893223,-2.72479165284404,-2.64675605374345,0.00212205,0.00214637154985109,0.521,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testog",2010,9,4,0.015212981462149,0.0188108312184454,-2.64182953930881,-2.52529504600233,0.00207475,0.00209904161941776,0.529,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testog",2010,10,1,0.00639659038522112,0.00775188998803726,-3.02172788508621,-3.35217251489392,0.00110395,0.00111724779222921,0.521,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testog",2010,10,2,0.0106557217414086,0.0129157248923895,-2.82359034373721,-2.89302659403494,0.0014849,0.00150239735926405,0.516,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testog",2010,10,3,0.0126151351657063,0.0153483951869086,-2.73209384820866,-2.70730816384752,0.00163575,0.00165526489141032,0.521,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testog",2010,10,4,0.0148129849461245,0.0182688940540197,-2.55333088280643,-2.43078499614612,0.004749455,0.00480678464208206,0.561,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testog",2010,11,1,0.00626552293016711,0.00767990570914844,-3.03566949173257,-3.37081771435238,0.00117395,0.00118796791557552,0.515,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_disc2testog",2010,11,2,0.0106275953871846,0.0129475469936726,-2.80120241272055,-2.81112508124642,0.0017668,0.00178776123579349,0.519,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
