"model","season","last_week","week_ahead","wis","crps","logs","logs2","lmae","mae","pit","cover50","cover60","cover70","cover80","cover90","cover95","cover98","cover99","cover99.5","cover100"
"asg_nm",2010,9,1,0.000208576428314483,0.00028066081285688,-5.80071343771731,-7.59795560758693,5.30999999999986e-05,5.3704719194192e-05,0.51734,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,9,2,0.000281247876198621,0.000381347246517728,-5.56228148927854,-7.4474116119108,0.000391549999999999,0.000396407630824713,0.60748,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,9,3,0.000384644756094483,0.000523608851041148,-5.39416439222941,-7.23856943570914,0.000659149999999999,0.000667632397758133,0.35062,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,9,4,0.000695489350433793,0.000959065280195088,-5.07139651655358,-7.01653852336338,0.0015092,0.00152960847507289,0.23196,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,10,1,0.000337218708871034,0.000468872350789792,-5.58122675283809,-7.64759034728091,0.000772,0.0007814289062682,0.74262,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,10,2,0.000248268687950345,0.000334740894645668,-5.65696803628665,-7.47098828794674,0.000135149999999999,0.000136853340959364,0.46096,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,10,3,0.00042489160011931,0.0005851262304131,-5.40229031662334,-7.286138898201,0.000870299999999999,0.0008817870274338,0.2989,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,10,4,0.000390522736806207,0.000522995753926432,-5.24348021192676,-7.10893872123243,0.000199400000000001,0.000202306699277566,0.4622,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,11,1,0.000202022143476552,0.00027277406278936,-5.83861837586947,-7.67110969845644,0.000101100000000002,0.00010236210507153,0.53552,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,11,2,0.000296831809844828,0.000406928355137028,-5.63603016896927,-7.50850025173981,0.000537049999999999,0.000544047814373005,0.34458,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,11,3,0.000304156200971034,0.000411414071871648,-5.43350532540489,-7.35080783517769,0.0002269,0.000230158509647138,0.55296,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,11,4,0.000381710464670345,0.000512237327960972,-5.21065676805295,-7.15944835468895,0.00018525,0.00018809511027218,0.53394,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,12,1,0.000289771648366896,0.0004007573295682,-5.71846050249356,-7.66533546788645,0.000608299999999999,0.000616248164432731,0.29728,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,12,2,0.000255399479765517,0.000344648979574612,-5.58897978660322,-7.50787704665901,0.00012555,0.000127359476445044,0.53416,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,12,3,0.00031636183782069,0.000425785697033128,-5.3927189475736,-7.32663375312738,7.71499999999998e-05,7.83391207026529e-05,0.51688,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,12,4,0.000442314792634483,0.000600523272974284,-5.06900602957787,-7.14502979041514,0.000605050000000003,0.000615203488997462,0.60482,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,13,1,0.000294228073482759,0.000407453090232184,-5.6471616477321,-7.71671106991451,0.000634999999999998,0.000643987821810743,0.70478,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"asg_nm",2010,13,2,0.000342959323068965,0.00047437091032346,-5.47939606037588,-7.57977698868592,0.0007375,0.000748619961989272,0.69724,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
