"model","season","last_week","week_ahead","wis","crps","logs","logs2","lmae","mae","pit","cover50","cover60","cover70","cover80","cover90","cover95","cover98","cover99","cover99.5","cover100"
"base",2010,9,1,0.000658604735528681,0.000896209055189752,-4.6551057101585,-6.45820034361352,0.000521431243912599,0.000527245992476555,0.5568,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,9,2,0.0010663451982386,0.00145916041568027,-4.26374401293409,-6.12878567823429,0.0017819802475864,0.00180283420833272,0.63124,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,9,3,0.00121318827951148,0.00166072347595205,-4.09816480133382,-5.92359625465488,0.0016139099094123,0.00163282215911287,0.60166,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,9,4,0.00139866086022111,0.0019153251954238,-3.96142660731963,-5.77969446400913,0.00187099041234605,0.001893089164968,0.60054,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,10,1,0.000890223081815066,0.00123400183684141,-4.54063929144076,-6.47643189782943,0.00186982359697285,0.00189162250135499,0.69482,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,10,2,0.0010664279609407,0.00146083809026646,-4.25174540126115,-6.13078756285685,0.00177100415305265,0.00179161658507687,0.63168,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,10,3,0.00126032079725275,0.00172133923935009,-4.09036938206418,-5.92938076475778,0.00194413982928665,0.00196703064661419,0.62032,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,10,4,0.00175671604423356,0.00242732259080053,-3.86611821789765,-5.8047508874457,0.00362994593135565,0.00367581776602499,0.68712,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,11,1,0.000722914540401168,0.000987184070577775,-4.63931194836964,-6.48979443336529,0.00108462209754315,0.0010976223793111,0.61592,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,11,2,0.000989400810093209,0.00135468187692502,-4.30510244242167,-6.1447765607362,0.00134094758296055,0.00135714539105591,0.60154,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,11,3,0.00149148530799367,0.00205676447622314,-4.01376076547539,-5.96394284014394,0.0030350193926188,0.0030742869502185,0.6816,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,11,4,0.00184784881729732,0.00256344922073519,-3.83200995906957,-5.83463638824629,0.00399392655900995,0.004047553596499,0.7061,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,12,1,0.000636492997633452,0.000862335793128693,-4.67989284659825,-6.5139082832072,0.000154019223169001,0.000155972203982335,0.51636,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,12,2,0.00107691041115344,0.00147728755648312,-4.26538688041618,-6.1908594560846,0.00181891513158565,0.00184356873324676,0.63478,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,12,3,0.00143741846560396,0.00197845653166281,-4.02819495659941,-6.0070715444822,0.0028289533590631,0.00286860762004792,0.66988,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,12,4,0.00198828644238022,0.00276074263929728,-3.81462001864001,-5.87556989582631,0.0044509752643211,0.0045169774776106,0.72458,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,13,1,0.000903070258141578,0.00125393555383195,-4.52018847794373,-6.54622408512532,0.0019302384579309,0.0019562920780678,0.69824,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,13,2,0.00131949552100737,0.00183033951323597,-4.16777461509245,-6.208924383963,0.00286189522339525,0.00290196346429239,0.70748,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,13,3,0.00192547379497679,0.00268934056082844,-3.88956470083066,-6.03392530345097,0.00449435327177945,0.00456089987617747,0.75838,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,13,4,0.00319242252858695,0.00451313719293064,-3.47061544798218,-5.92229132363977,0.007466241532238,0.00758805979962185,0.8439,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,14,1,0.00115479487218495,0.00161265755016986,-4.40458926422111,-6.55937223164256,0.00269278885709595,0.00273072028241761,0.7669,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,14,2,0.00180501868439745,0.0025370362847471,-4.00441284967809,-6.24387769160315,0.00427301539061405,0.00433676427620044,0.79416,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,14,3,0.00315263020529424,0.00446290155436514,-3.47812026503965,-6.08146164371524,0.00725193820676355,0.00737104873696004,0.87094,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,14,4,0.00235592049270355,0.00329244586390903,-3.70393150501112,-5.90324033241144,0.0055257761246643,0.00561135709550031,0.7732,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,15,1,0.00111009357750567,0.00155119603253236,-4.42910494757223,-6.6257611018655,0.0025806408636124,0.00262135726022961,0.75794,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,15,2,0.0023566149044314,0.00333649932002881,-3.78956251248007,-6.33172758897593,0.0055061937147441,0.00560151308492829,0.85538,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,15,3,0.00170166201473378,0.0023609410490521,-3.95925337055175,-6.08528766683348,0.0037600973558923,0.00382170206451571,0.72432,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,15,4,0.00245754317441908,0.00344432246100131,-3.69684230377321,-5.97082762816663,0.0057814090947961,0.00588202287523476,0.78558,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,16,1,0.00202079621093636,0.00287182859563575,-3.9128572734048,-6.69915070136972,0.00457882922725215,0.00466025327335706,0.8904,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,16,2,0.00129777904513188,0.00180322198104957,-4.1878777682692,-6.31836012934203,0.00280150973999015,0.0028487734603897,0.7033,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,16,3,0.0020464958719689,0.00286155794470124,-3.86424355352023,-6.14518021553368,0.00480130944689255,0.00488725886957697,0.77474,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,16,4,0.0046719201803576,0.00664609043137312,-3.01375723257227,-6.00355912987178,0.0102699215115949,0.0104819498428634,0.9172,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,17,1,0.000743185044399653,0.00101638854340864,-4.6385242052706,-6.70326902957113,0.00120687703128205,0.00122821657657757,0.62822,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,17,2,0.0014265733842243,0.00198197452727655,-4.14600489814118,-6.38821394240686,0.00321610733974945,0.00327627368473538,0.7305,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,17,3,0.00388966357945952,0.00553650636360919,-3.22872067264134,-6.18708719186423,0.008599523600116,0.00878438774438295,0.91192,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,17,4,0.00904412691388203,0.0127688150870843,-1.42404310025944,-5.8347803314387,0.0169126169972776,0.0173472504952297,0.98964,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"base",2010,18,1,0.000633037233662533,0.000857031212319448,-4.69028786439939,-6.79979918246255,0.000184878690051748,0.000188622948815276,0.52068,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,18,2,0.00243385912790101,0.00344461276785501,-3.73313930809054,-6.44929201909053,0.00562228060614015,0.00575168847872076,0.86164,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,18,3,0.00733001657098735,0.0103721297824772,-1.71871775147291,-6.03203918594923,0.0139166894823236,0.0142956747586169,0.98574,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"base",2010,18,4,0.0072821087661187,0.0104057973314787,-2.06677347971847,-5.86665850215346,0.0143777820730621,0.0147732930319118,0.97646,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"base",2010,19,1,0.00379565215517083,0.00540487662444019,-2.63505053301119,-6.78762508443298,0.00740896407686785,0.0075727352818471,0.97904,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"base",2010,19,2,0.00956468109344254,0.0127393313405825,0.208812914244601,-6.22439216856889,0.01567627809851,0.0160890548997008,0.99852,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"base",2010,19,3,0.00904378468944976,0.0125728599711096,-0.974389268879687,-5.99088151531406,0.0161922995747203,0.0166226756980654,0.99428,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"base",2010,19,4,0.00383353477142613,0.00543577297793463,-3.30653164858631,-6.01754576997154,0.0087845022588811,0.00898462808181266,0.88172,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,20,1,0.00921473000145063,0.0116177307654756,2.54956276409427,-6.62751025135643,0.0136252461424277,0.0139983297385375,0.99988,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"base",2010,20,2,0.00821334716705595,0.0112227725409731,-0.646518281611692,-6.24494161834983,0.014139880911904,0.0145305717810682,0.99702,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"base",2010,20,3,0.00292016324630393,0.00413336052411999,-3.55750303679947,-6.21127796663845,0.00678259223195375,0.00694404935338744,0.858,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,20,4,0.00394339218768754,0.00559909069467131,-3.25247540028309,-5.99464566809143,0.00897414473918295,0.00919785421557884,0.887,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,21,1,0.00476888136055465,0.00668846248301704,-1.84344436333124,-6.64278637948463,0.00875433706920425,0.00902043417260145,0.99182,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"base",2010,21,2,0.000990775921433925,0.00135691015496421,-4.30667178040863,-6.44654253279546,0.001364571797267,0.00140084211916447,0.60422,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,21,3,0.00162968878188772,0.00226071077944829,-3.96856876041725,-6.16982844214221,0.0035586305429999,0.00365722003055446,0.71042,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,21,4,0.00414627161729503,0.00590405381922993,-3.1854790840349,-5.87546644648524,0.0093402878904269,0.00962721290778124,0.89698,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,22,1,0.0034232529813092,0.00489393963243579,-2.98297068052315,-6.64946287805955,0.00688851223624124,0.0071008639809178,0.03146,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,22,2,0.00200553557566378,0.00282171117382543,-3.9207016432104,-6.27193155355461,0.00472649819367145,0.00487760864810172,0.18106,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,22,3,0.00115276417601538,0.0015666660282543,-4.11369201188051,-5.95750410984069,0.00110015697439431,0.00113863029630235,0.5685,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,22,4,0.00259950331826583,0.00365830120914091,-3.63801845071054,-5.71212791274819,0.0061597676106526,0.00639168385929345,0.79664,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,23,1,0.00239545826941866,0.003408248905467,-3.71245101030017,-6.60501357721871,0.00522429703009775,0.00539266574404906,0.0779,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,23,2,0.000913754084220352,0.00124482584345309,-4.32194941216552,-6.16205817295477,0.000616090590642451,0.000637790070421751,0.547,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,23,3,0.00243139202511003,0.00342199804807134,-3.73519125629818,-5.85713473003556,0.00571843846949645,0.00593504681845736,0.81522,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,23,4,0.00450765282313818,0.00641610490740626,-3.08358736660274,-5.62386613937698,0.00998113893901805,0.0103819029292103,0.91164,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,24,1,0.00419015751452408,0.00593518253018694,-2.34772422744869,-6.61139576058891,0.0079692887448201,0.00821972249794811,0.9848,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"base",2010,24,2,0.00729736655410182,0.0101746253143986,-1.24594146265114,-6.10524976563682,0.0131138798014148,0.0135604629365913,0.9937,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"base",2010,24,3,0.0101951278946633,0.0139122484552989,-0.312987104776127,-5.77399747926876,0.0174875750973548,0.0181217520791372,0.9969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"base",2010,24,4,0.0080905579182031,0.0114946709372545,-1.82256593561884,-5.67213428525945,0.0155857871326924,0.0161351181114073,0.98218,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"base",2010,25,1,0.00660094939309801,0.00885020626519951,-0.412303930348803,-6.45996867976358,0.0109214865049181,0.0113057711272555,0.9984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"base",2010,25,2,0.0091171935102065,0.0122713311632682,-0.044363822682654,-5.97882581230745,0.0152369282035782,0.0158072165254639,0.9982,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"base",2010,25,3,0.00686802025159291,0.00976456211297586,-2.02217935826354,-5.82806770021863,0.0132933053166499,0.0137775817339318,0.9816,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"base",2010,25,4,0.00757094860289906,0.010788224106063,-1.98338273156344,-5.62772071774747,0.0147893590076373,0.0153404674827808,0.97806,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"base",2010,26,1,0.00532919432360106,0.00737836366357727,-1.360049570681,-6.31734059012479,0.00944648546114955,0.00982840476700009,0.9954,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"base",2010,26,2,0.00345985720249984,0.00492560187927847,-3.26772375045524,-6.01592537535899,0.00749091990468365,0.0077863327545824,0.92654,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,26,3,0.00410631085079964,0.00584359453470429,-3.13666059467072,-5.76805346963581,0.0089501731506232,0.00931078149934672,0.92128,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"base",2010,26,4,0.00188438388870111,0.00261353972743334,-3.83650397999813,-5.72159862821748,0.00411059794896295,0.00426541512589473,0.71184,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
