"model","season","last_week","week_ahead","wis","crps","logs","logs2","lmae","mae","pit","cover50","cover60","cover70","cover80","cover90","cover95","cover98","cover99","cover99.5","cover100"
"sir",2010,9,1,0.000244719114313103,0.0003355639254488,-5.80669097470765,-7.24835397489801,0.000475399999999999,0.000480712493287516,0.6794,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,9,2,0.000544271365967586,0.000769464468878,-5.18266543065613,-7.15462409014597,0.0012721,0.00128731505367541,0.8492,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,9,3,0.000375081853171035,0.0005208440821592,-5.43743443433692,-7.02243484890027,0.000833400000000002,0.000843495062116784,0.728,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,9,4,0.000344990491972414,0.0004719854323948,-5.46420984662589,-6.92359431263707,0.0006709,0.000679231534851166,0.6672,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,10,1,0.000620753159187586,0.0008830374594716,-5.05782404151504,-7.21585288425591,0.00140075,0.00141741262458783,0.8978,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,10,2,0.000399977941874483,0.000559492642316801,-5.53478142543795,-7.15613282479059,0.000925700000000002,0.000936869870549639,0.7894,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,10,3,0.000364154672008276,0.0005045470453992,-5.47023446914675,-7.07446276177861,0.000804049999999999,0.00081398086490414,0.7308,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,10,4,0.000996336247380689,0.0014157782910008,-4.52954062727044,-6.96733138739717,0.0021593,0.00218819486060728,0.9188,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,11,1,0.000351240065264828,0.000490664857582401,-5.58124061785155,-7.29067046084792,0.000819250000000002,0.000829179527290558,0.7784,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,11,2,0.0002993907245,0.0004135565022668,-5.68470078656525,-7.20427859483133,0.000655299999999999,0.00066344298137011,0.7138,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,11,3,0.000928907554110344,0.0013255368736932,-4.54714458536831,-7.13929134233929,0.0019834,0.00201011776052651,0.9348,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,11,4,0.00124880702087379,0.0017863787288488,-4.10577482670177,-7.01322669681666,0.00259205,0.00262869473200444,0.9574,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,12,1,0.000207345903428276,0.0002828699000224,-5.85608964852667,-7.28029168726598,0.000291700000000001,0.00029537845440486,0.609,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,12,2,0.000708555219848965,0.0010084503224224,-4.82190054225523,-7.27755861305284,0.0015457,0.00156686441077381,0.9086,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,12,3,0.000963305209716552,0.0013765112447752,-4.45776805371446,-7.17261628812311,0.0020443,0.0020737686518435,0.9386,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,12,4,0.00172809234483172,0.0024428355384696,-3.07578048346499,-7.10164508256865,0.00320185,0.00325135804777488,0.9862,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"sir",2010,13,1,0.000674442236048275,0.000958838761953199,-4.96832626986572,-7.35857444892267,0.00148235,0.00150269457952956,0.9196,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,13,2,0.000958715604372413,0.0013708848549868,-4.43292938858231,-7.2885642203746,0.0019832,0.00201184933376153,0.9568,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,13,3,0.00173648791444414,0.0024411997067304,-2.82382781690089,-7.24689699926571,0.003148,0.00319676142763003,0.9902,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"sir",2010,13,4,0.00385951737224965,0.0048628189495864,0.915021035039045,-7.16856335226061,0.0056664,0.00576403144360871,0.9998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"sir",2010,14,1,0.00104752565665517,0.0014968284458656,-4.07530524119183,-7.42381625473084,0.00206395,0.00209368134376309,0.972,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir",2010,14,2,0.00189160075321379,0.0025961302384392,-2.1965708535061,-7.36205868912713,0.0032413,0.00329135314880458,0.9958,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"sir",2010,14,3,0.00419224537094345,0.0050621021098088,3.23843069504557,-7.33607806610007,0.005728,0.00582651351580266,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir",2010,14,4,0.00201062648686069,0.0027906036667824,-2.42805280522035,-7.17420372155852,0.0035636,0.00362234098945757,0.9944,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
