"model","season","last_week","week_ahead","wis","crps","logs","logs2","lmae","mae","pit","cover50","cover60","cover70","cover80","cover90","cover95","cover98","cover99","cover99.5","cover100"
"sir_disc",2010,9,1,0.000598316320492414,0.00083319410808992,-4.97479132595372,-7.02411083213914,0.00139103,0.00140593075924422,0.74124,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc",2010,9,2,0.000743195557893793,0.00103911475809356,-4.78299919536986,-6.97652237924837,0.00176605,0.00178673176128741,0.77342,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc",2010,9,3,0.000507044048499311,0.000694680277677792,-4.98813559287227,-6.90397608579491,0.000880750000000001,0.000891397516590287,0.63888,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc",2010,9,4,0.000466431996633103,0.000633269276392872,-4.99429678988919,-6.83716885318684,0.000291700000000001,0.00029537845440486,0.5433,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc",2010,10,1,0.000425685083343448,0.000582076811406356,-5.14483390258459,-7.07500827819975,0.000722550000000001,0.000731393024512306,0.63562,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc",2010,10,2,0.000398066488075172,0.000540270683070328,-5.19918038988701,-7.01235523083962,0.0003169,0.000320923161076125,0.44292,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc",2010,10,3,0.000550704989243448,0.000756335256048876,-5.07541627570934,-6.95574708561756,0.00107405,0.00108833719577373,0.32334,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc",2010,10,4,0.000472809599931724,0.000642705393564396,-5.02932838957015,-6.91197552218934,0.000369300000000001,0.000374715202539733,0.44486,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc",2010,11,1,0.000768601403279311,0.00108013184394261,-4.67274444679476,-7.09059400841736,0.00185445,0.00187595539646512,0.7948,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc",2010,11,2,0.000568374313892414,0.000786362406307384,-4.89843267471405,-7.0310394877222,0.00126645,0.00128179565796427,0.7076,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc",2010,11,3,0.000875400095958621,0.00122698897801502,-4.5221214432168,-7.0031726642099,0.0021192,0.00214760130259473,0.78882,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc",2010,11,4,0.00092203124478,0.00128864943039959,-4.47187003027795,-6.95139093083142,0.00221335,0.00224506580828976,0.78284,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc",2010,12,1,0.000837234977146896,0.0011694499041539,-4.76358692374456,-6.90788044575796,0.00193935,0.00196599818218446,0.22124,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc",2010,12,2,0.000705129326571035,0.00097587587512046,-4.8088383803484,-6.86592263473721,0.0015002,0.00152305917337792,0.29382,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc",2010,12,3,0.00081662923026069,0.00113177379848874,-4.71910682857256,-6.81989950809276,0.00177215,0.00180112920544628,0.27658,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
