"model","season","last_week","week_ahead","wis","crps","logs","logs2","lmae","mae","pit","cover50","cover60","cover70","cover80","cover90","cover95","cover98","cover99","cover99.5","cover100"
"sir_disc2",2010,9,1,0.00163760658301241,0.00224657461047181,-2.32793814471792,-7.77918914897408,0.0028054,0.00283344775811933,0.99606,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"sir_disc2",2010,9,2,0.00184226612827379,0.00250803821704613,-1.95053303969844,-7.70328958280994,0.003125815,0.00316027215471237,0.99688,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"sir_disc2",2010,9,3,0.00105039381433241,0.00150379452061623,-4.21625044191066,-7.62198112605395,0.0021545,0.00217915812601088,0.9592,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,9,4,0.00060579214266,0.000858371707175216,-5.10159190094816,-7.50443773966635,0.0014187,0.00143578120268484,0.85272,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,10,1,0.000681457253373103,0.000951790490920008,-4.8837000805286,-7.06204890122318,0.0016083,0.00162726270045166,0.7738,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,10,2,0.000444018284304138,0.00060591892978678,-5.09366016788316,-6.98846111532314,0.000682050000000002,0.000690363978320674,0.61828,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,10,3,0.000419097282104828,0.000569612468109636,-5.10239121996884,-6.9258760398735,1.5349999999999e-05,1.55457175043949e-05,0.5026,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,10,4,0.000528528398014483,0.000721563370713264,-4.91113031921032,-6.8755369830818,0.00079975,0.000811002900436675,0.6148,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,11,1,0.0013887784068731,0.00197915074080806,-4.20365742760543,-7.19325960597038,0.00302775,0.00307034835666631,0.07832,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,11,2,0.00186996033914759,0.00267722945760111,-3.70381724428391,-7.11986361179923,0.00385565,0.00391237829789026,0.0418,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,11,3,0.0014543454477931,0.00206896497247534,-4.25922241184227,-7.05817210525346,0.00322185,0.00327376070324714,0.08966,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,11,4,0.00147771802647586,0.00209936738476512,-4.27107680198163,-6.97152397938922,0.0033317,0.00338882446831246,0.10558,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,12,1,0.000357460294287586,0.000491829498281936,-5.39145263769536,-7.34448446236253,0.0006979,0.000706557295370391,0.6678,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,12,2,0.000605635184471724,0.000850719131734688,-5.0568521394806,-7.30736606343566,0.0014465,0.00146637883277512,0.79214,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,12,3,0.000603385441704828,0.000843129691666576,-5.03508388154367,-7.24999402140772,0.0014219,0.00144284554935892,0.76744,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,12,4,0.000850909031224828,0.00119745398185432,-4.74556886921502,-7.18707983599307,0.0020191,0.00205153232069177,0.82182,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,13,1,0.00249122365169655,0.00315157704331045,0.574601020356104,-7.94883036029457,0.0036825,0.00372893803643604,0.99984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"sir_disc2",2010,13,2,0.00245725178456966,0.00315067972156283,-0.0813518341083771,-7.91754849144974,0.0037202,0.00377066736973219,0.9996,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"sir_disc2",2010,13,3,0.00300363583652138,0.00378012102035597,1.21554624664018,-7.88106364486982,0.00440215,0.00446753718024251,0.99988,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"sir_disc2",2010,13,4,0.0048282031932,0.00574477861189816,5.97645447132677,-7.859535520676,0.0064209,0.00652907032044392,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,14,1,0.000399380552496552,0.00055069733261112,-5.26514800941524,-7.32207035892336,0.0007256,0.000737079547633135,0.35356,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,14,2,0.000415210664096551,0.00056862008619872,-5.18917386088783,-7.26055658622964,0.000621999999999998,0.000632826067091363,0.3853,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,14,3,0.00049111635684138,0.000672594923911561,-5.02037474617365,-7.21044670504443,0.00081585,0.000831921110546308,0.62886,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,14,4,0.00112313238548276,0.00157953026707668,-4.5252672114341,-7.04672648610832,0.00265005,0.00270211371828366,0.17354,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,15,1,0.000292623373462069,0.00040030490763788,-5.57060190704867,-7.61853838745654,0.000490000000000001,0.000498251465861577,0.63464,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,15,2,0.000963060538034484,0.00137078369807328,-4.60556523607653,-7.6120767716505,0.0021336,0.00217419630989624,0.91102,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,15,3,0.000459687776662069,0.00063706124883272,-5.26554241470571,-7.5169603559436,0.0010185,0.00103766266866501,0.27326,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,15,4,0.000353352384786207,0.00048248336315804,-5.32652448885279,-7.49239049526996,0.0004533,0.000462628065271753,0.40328,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,16,1,0.000301049134441379,0.00040760173307008,-5.43402064987825,-7.55080753454108,6.43499999999977e-05,6.56464883748153e-05,0.48484,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,16,2,0.00164144878016552,0.00235193836071732,-3.84570823850577,-7.43238998513145,0.00339245,0.00346038404562221,0.04466,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,16,3,0.00130122185241379,0.0018529560460892,-4.32711266005899,-7.34312961017687,0.00293665,0.0030008055227948,0.10268,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,16,4,0.000550510390503448,0.00075697713748496,-4.96301776895561,-7.19324488737283,0.000961449999999999,0.000985873228773082,0.64658,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,17,1,0.00162613680046207,0.00227438781226828,-2.88966656859431,-7.88632967157026,0.00296235,0.00302102117882486,0.00702,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"sir_disc2",2010,17,2,0.00104676586737241,0.00149954102843328,-4.39818435166675,-7.84177967579511,0.0022197,0.00226737938106236,0.05348,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,17,3,0.000858727866331034,0.0012221718970844,-4.8065747640382,-7.75075635539283,0.0019496,0.00199813747007593,0.89526,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,17,4,0.00684089164174483,0.00801058713931408,46.1694750554051,-7.4010684298427,0.00901145,0.00927954160495359,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,18,1,0.00135804499408966,0.001937814742403,-3.80541946483366,-7.78705586732155,0.00267555,0.00273364433428047,0.02252,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,18,2,0.000716144249110345,0.00101561087119808,-4.93838819292803,-7.76995808152891,0.0016896,0.0017318895423426,0.85448,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,18,3,0.00679712124889655,0.00800550738361548,31.1602032788797,-7.52506556233351,0.0089684,0.00923540935503087,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,18,4,0.00634172925455172,0.00760330285162824,10.7254467409718,-7.46063911090126,0.00860155,0.00886367910550523,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,19,1,0.00133450075968276,0.0019036665027008,-4.27287414219054,-7.35678520730094,0.00301225,0.00308560411303982,0.89748,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,19,2,0.00645537065768966,0.0082006524663192,1.84760946440904,-7.05540681767229,0.00973595,0.0100219701152642,0.99994,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"sir_disc2",2010,19,3,0.00515710929208276,0.00696888368742444,-0.843972903685102,-6.92008132139076,0.0086983,0.0089629445587156,0.99806,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"sir_disc2",2010,19,4,0.000562451127248276,0.00076349668320956,-4.80125829605808,-6.94074328238204,0.000256299999999998,0.000263325757161814,0.468,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,20,1,0.0111375068987724,0.0123182901824829,550.528380647119,-7.53903489444107,0.0132262,0.0135910623927931,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,20,2,0.0113802129164276,0.012631295504778,470.898169535965,-7.51259389929283,0.0135584,0.0139370664363476,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,20,3,0.00407909125430345,0.005233064332122,0.129006632763795,-7.67069251757498,0.0061962,0.00634555647747681,0.99956,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"sir_disc2",2010,20,4,0.00629104995907586,0.00759825233507328,7.95818835220128,-7.59298207416678,0.0085762,0.00879173600202932,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,21,1,0.0132955370654966,0.0146485898745348,589.246542558444,-7.36565228981964,0.01567535,0.0160961349505826,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,21,2,0.00578268109026207,0.00711830758788332,3.5144596403546,-7.48501062758939,0.0082174,0.0084069863701246,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,21,3,0.00789027991233793,0.00931502285614996,33.3722122565488,-7.36253398290869,0.01048175,0.0107349594340738,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,21,4,0.0137654999715862,0.0152581671587951,437.672598235028,-7.13300555520367,0.0165193,0.0169658807838207,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,22,1,0.00385850304977241,0.0047324744729024,5.81960653973962,-7.91510656330017,0.0054633,0.00559703893583463,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,22,2,0.00686596832511724,0.00777878257160504,163.903598300662,-7.844337855618,0.00849815,0.00871206395696777,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,22,3,0.0137064282040897,0.0146055049816198,Inf,-7.66261515418667,0.0153359,0.0157597864572958,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,22,4,0.0199813589848207,0.0208699256829248,Inf,-7.47986842385149,0.02160175,0.0222430566225145,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,23,1,0.00117060614307586,0.00160935907371554,-4.08459439609956,-6.22532487690101,0.000659099999999999,0.000678342305674207,0.53814,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,23,2,0.00238191896053793,0.00335590903289089,-3.99039988263756,-5.92815354180901,0.005132,0.00530077875222212,0.78968,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,23,3,0.00423255055793104,0.00603370640916706,-3.37528242295059,-5.64437081935575,0.00892685,0.00925015663095308,0.90432,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,23,4,0.00592213226904828,0.0084715811857355,-2.89216300736295,-5.3866360011834,0.01200325,0.0124726123021819,0.94186,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,24,1,0.00926360035522759,0.0106115757635038,126.663460563477,-7.37000635810029,0.01165325,0.0119973686229,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,24,2,0.0146261492382621,0.0160509485008602,642.663260936666,-7.1714388428671,0.0171336,0.0176815881297971,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,24,3,0.0194610957967931,0.0209048515187888,Inf,-6.98574501116096,0.02202075,0.0227678264847573,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,24,4,0.0181763346418965,0.0196516400157215,Inf,-7.01620137720732,0.0208,0.0214772130148133,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,25,1,0.0152680912843103,0.0166711357521687,Inf,-7.32322473299273,0.01761845,0.0181775507441251,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,25,2,0.0199539793939862,0.0212546745954266,Inf,-7.11702742817972,0.02226055,0.02301301270268,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,25,3,0.0183718016776069,0.0197181343396257,Inf,-7.11901044487913,0.0207924,0.02146944687257,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,25,4,0.0203533588795724,0.0217852555721945,Inf,-6.99725795735213,0.0229398,0.0236981579053013,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"sir_disc2",2010,26,1,0.00415618009445517,0.00595887622335407,-2.76057184279473,-6.08676804327595,0.00860875,0.00896054670058311,0.9492,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,26,2,0.0020917446546,0.00293199551835444,-3.82075268702275,-6.01484209622692,0.00494645,0.00514805741242408,0.82386,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,26,3,0.00202275376251724,0.00283879165937726,-3.81048630522642,-5.90222876750614,0.00480255,0.00500640760441762,0.79948,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,26,4,0.00119339198903448,0.00161784129872641,-4.18483251024761,-5.84602626366822,0.0017263,0.00179655198506712,0.38484,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,27,1,0.00185213208762758,0.00262472190797272,-3.97235949161521,-6.29822347799208,0.004332,0.00450994794385107,0.86166,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,27,2,0.00171024978684138,0.00240658626491236,-4.01319199701533,-6.15508954839652,0.0040641,0.00423817543407723,0.82068,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,27,3,0.00121269107398621,0.00168027165096952,-4.35302198752452,-6.07573212565339,0.002634,0.00274243576930511,0.28474,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,27,4,0.00677758198538621,0.0092574203453104,-0.84136363147327,-5.98270130067296,0.0118464,0.0122982917587768,0.0026,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"sir_disc2",2010,28,1,0.00122653370817242,0.00169897415290452,-4.23122488125215,-6.09118440171685,0.00274255,0.00286190956739918,0.72648,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,28,2,0.00177592502762069,0.0024939689827468,-4.1098520458702,-6.00645497594069,0.00413815,0.00431175156251218,0.19214,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,28,3,0.00781229677508966,0.0107339670965562,-0.705717575895765,-5.90772886389034,0.0135191,0.014046566175556,0.00476,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"sir_disc2",2010,28,4,0.0128256864802,0.0164553541204266,1.17950632728214,-5.76662201519734,0.019536,0.0202729000165618,0.00054,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"sir_disc2",2010,29,1,0.000933338964648276,0.00127761775706972,-4.47628068951382,-6.1902371781647,0.00170395,0.00177327262704585,0.33914,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,29,2,0.00603713192175173,0.008398625402186,-1.26856539784568,-6.15052146468825,0.01082545,0.0112326503977611,0.0069,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"sir_disc2",2010,29,3,0.0107037488490552,0.0138780917948696,0.597774129962512,-6.04899588315397,0.01653925,0.0171373375684063,0.00086,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"sir_disc2",2010,29,4,0.0151062372741724,0.018882834410509,3.504710627007,-5.9320130608309,0.0217872,0.0225462694963783,2e-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"sir_disc2",2010,30,1,0.00557888506637242,0.00794678044365216,-2.40040086691044,-5.7532278414516,0.01123815,0.011663285044768,0.0533,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"sir_disc2",2010,30,2,0.00922040060688276,0.013021183017737,-1.42818960186519,-5.6692688530961,0.01686135,0.0174739070330703,0.0184,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
